episode,steps,rewards,loss
1,100,-1.0000000000000007,1.0518578027188779
2,100,-1.0000000000000007,0.4626117481291294
3,100,-1.0000000000000007,0.48052067413926125
4,100,-1.0000000000000007,0.46579220190644266
5,100,-1.0000000000000007,0.5158351584523916
6,100,-1.0000000000000007,0.5113060804456473
7,36,9.66,0.6190441739228036
8,28,9.74,0.6101974493690899
9,100,-1.0000000000000007,0.7877854939550162
10,100,-1.0000000000000007,0.8669377528131008
11,100,-1.0000000000000007,0.18107754119671882
12,53,9.49,0.1640150730480563
13,100,-1.0000000000000007,0.3203125292528421
14,100,-1.0000000000000007,0.23438356059137733
15,100,-1.0000000000000007,0.1486604548431933
16,43,9.59,0.24537300080234228
17,55,9.469999999999999,0.23420666434209456
18,100,-1.0000000000000007,0.4160397241357714
19,100,-1.0000000000000007,0.22967011336237192
20,84,9.18,0.21999737577113723
21,39,9.629999999999999,0.27906979967911655
22,48,9.54,0.2294675865850877
23,96,9.059999999999999,0.22674850973029
24,100,-1.0000000000000007,0.20688250843901188
25,100,-1.0000000000000007,0.20923283035401255
26,100,-1.0000000000000007,0.17826947633177043
27,100,-1.0000000000000007,0.12942318950779735
28,34,9.68,0.2573990730349632
29,28,9.74,0.24573090805539063
30,100,-1.0000000000000007,0.11522296437062324
31,31,9.709999999999999,0.20721182118981116
32,32,9.7,0.22491224197437987
33,29,9.73,0.2634376020267092
34,31,9.709999999999999,0.3204789870688992
35,49,9.53,0.3153730784447826
36,24,9.78,0.3380919594007234
37,91,9.11,0.29889844627129836
38,47,9.549999999999999,0.2554610857462629
39,100,-1.0000000000000007,0.26187454784289005
40,33,9.69,0.1978684566407041
41,54,9.48,0.32036903679922774
42,24,9.78,0.2776850111161669
43,23,9.79,0.25993665712683095
44,100,-1.0000000000000007,0.2734625610895455
45,17,9.85,0.19064577734645674
46,26,9.76,0.17884500596958858
47,43,9.59,0.20992674903814182
48,41,9.61,0.2376971177575065
49,23,9.79,0.15743189693793005
50,23,9.79,0.12688219158545785
51,100,-1.0000000000000007,0.3814964131452143
52,20,9.82,0.2777843039482832
53,22,9.8,0.12417981646616351
54,24,9.78,0.2499929068920513
55,24,9.78,0.2356534404680133
56,64,9.379999999999999,0.1568975827540271
57,43,9.59,0.16011247268423093
58,20,9.82,0.13524899110198021
59,22,9.8,0.2141980588097464
60,18,9.84,0.12474941369146109
61,24,9.78,0.2209775837448736
62,18,9.84,0.3537513247380654
63,26,9.76,0.3213356744784575
64,25,9.77,0.2878566847741604
65,29,9.73,0.2024426352361153
66,53,9.49,0.16283028618485298
67,37,9.65,0.2402154447863231
68,26,9.76,0.25760032336872357
69,23,9.79,0.0986930322225975
70,85,9.17,0.16350427377311622
71,49,9.53,0.39271799307696675
72,34,9.68,0.1430892467717914
73,56,9.459999999999999,0.2360519831667521
74,28,9.74,0.23130522282528027
75,100,-1.0000000000000007,0.14559958631172776
76,23,9.79,0.08324305551207584
77,66,9.36,0.12918020369993014
78,35,9.67,0.16136189198919704
79,49,9.53,0.13975925530706132
80,60,9.42,0.09076955978137752
81,30,9.72,0.1619514800608158
82,23,9.79,0.259934631054816
83,35,9.67,0.17857443786093166
84,18,9.84,0.09623241052031517
85,24,9.78,0.142819803673774
86,19,9.83,0.19528432484520108
87,21,9.81,0.15352646633982658
88,29,9.73,0.15527875104854846
89,41,9.61,0.1774227183493899
90,18,9.84,0.18516808096319437
91,20,9.82,0.17385985367000104
92,20,9.82,0.09930235296487808
93,29,9.73,0.17954605470957427
94,16,9.86,0.17370278644375503
95,36,9.66,0.25938485097140074
96,18,9.84,0.25344084658556515
97,19,9.83,0.19772040775339855
98,15,9.87,0.12867487519979476
99,19,9.83,0.20299055348885686
100,28,9.74,0.13993964337610773
101,21,9.81,0.19379114785364696
102,23,9.79,0.18193880452410036
103,17,9.85,0.1602491416475352
104,19,9.83,0.366519916214441
105,18,9.84,0.17176502818862596
106,21,9.81,0.11262096766205061
107,17,9.85,0.08417742173461353
108,19,9.83,0.1868099493807868
109,19,9.83,0.14792014168281303
110,20,9.82,0.10594663433730603
111,17,9.85,0.20186937162104776
112,21,9.81,0.22171595745853015
113,19,9.83,0.20987821115474953
114,29,9.73,0.29669665442458515
115,20,9.82,0.195696809142828
116,25,9.77,0.2708892792463303
117,23,9.79,0.277574657422045
118,20,9.82,0.211727680824697
119,17,9.85,0.311360483222148
120,19,9.83,0.246376633644104
121,32,9.7,0.09594119299435988
122,18,9.84,0.1674896933966213
123,17,9.85,0.14907763284795425
124,18,9.84,0.16364334585765997
125,17,9.85,0.050696358851650185
126,21,9.81,0.08444545985687346
127,18,9.84,0.09414668298429912
128,17,9.85,0.09667499472989756
129,17,9.85,0.08126746578251615
130,19,9.83,0.11692913798125167
131,18,9.84,0.12555441674258974
132,17,9.85,0.1240374726955505
133,19,9.83,0.14563675028713127
134,17,9.85,0.10559277050197124
135,19,9.83,0.18050395030724375
136,19,9.83,0.17477583816569103
137,17,9.85,0.09339046741233152
138,17,9.85,0.13221516964190147
139,17,9.85,0.185262038208106
140,17,9.85,0.07970125162426163
141,17,9.85,0.17419914156198502
142,21,9.81,0.10771209090238526
143,19,9.83,0.12255251731135343
144,18,9.84,0.16994637871781984
145,22,9.8,0.17126682976430113
146,23,9.79,0.14780061902559322
147,18,9.84,0.13978270130852857
148,20,9.82,0.16496598524972797
149,16,9.86,0.15658325294498354
150,17,9.85,0.09268796301501639
151,16,9.86,0.13934343378059566
152,17,9.85,0.11995295873459648
153,16,9.86,0.047223466099239886
154,17,9.85,0.1302205749294337
155,17,9.85,0.07676085259984522
156,17,9.85,0.06957059791859459
157,17,9.85,0.11188849423299818
158,18,9.84,0.1589175375799338
159,17,9.85,0.14129636973580895
160,18,9.84,0.07953691979249318
161,17,9.85,0.0935216107789208
162,16,9.86,0.03801366640254855
163,16,9.86,0.12992127344477922
164,17,9.85,0.08057846227551207
165,16,9.86,0.054512762173544616
166,16,9.86,0.08005599223542958
167,16,9.86,0.0644880358595401
168,16,9.86,0.05005667463410646
169,16,9.86,0.0593819440837251
170,20,9.82,0.06918387096375227
171,16,9.86,0.0385251518455334
172,17,9.85,0.11087653106626343
173,20,9.82,0.055269512068480256
174,19,9.83,0.05558179583596556
175,16,9.86,0.06530384806683287
176,17,9.85,0.08184342513627865
177,16,9.86,0.10137501376448199
178,16,9.86,0.0732062952592969
179,21,9.81,0.07171391575996365
180,16,9.86,0.04403725563315675
181,16,9.86,0.06699998286785558
182,16,9.86,0.030441808165051043
183,25,9.77,0.08387550301849842
184,17,9.85,0.0819371687796186
185,19,9.83,0.07343795584318669
186,18,9.84,0.049705755069024034
187,18,9.84,0.06291658537358874
188,17,9.85,0.08575092217720606
189,19,9.83,0.040231414531406606
190,16,9.86,0.04386574507225305
191,19,9.83,0.07699715066701174
192,19,9.83,0.05503326340725547
193,17,9.85,0.0337974914787885
194,16,9.86,0.08029858290683478
195,16,9.86,0.0373289177659899
196,19,9.83,0.06821404132795961
197,16,9.86,0.03337897907476872
198,16,9.86,0.041962290939409286
199,16,9.86,0.0522613404027652
200,16,9.86,0.047796978789847344
201,16,9.86,0.04350966517813504
202,18,9.84,0.038793486232558884
203,17,9.85,0.054929011282237136
204,19,9.83,0.045139695836329145
205,16,9.86,0.033043776609702036
206,16,9.86,0.08489768684376031
207,16,9.86,0.029393047414487228
208,16,9.86,0.06200229251408018
209,16,9.86,0.03872681106440723
210,18,9.84,0.03771880742472907
211,17,9.85,0.05431353996562607
212,17,9.85,0.0356484296019463
213,17,9.85,0.03041116800159216
214,20,9.82,0.015797142731025816
215,18,9.84,0.027885838825669553
216,16,9.86,0.04526534501928836
217,18,9.84,0.025567953526559804
218,16,9.86,0.01825035031652078
219,24,9.78,0.04671247920487076
220,24,9.78,0.040875773081400744
221,18,9.84,0.03845162767296036
222,16,9.86,0.03377911131246947
223,16,9.86,0.05042613443220034
224,16,9.86,0.029594774910947308
225,26,9.76,0.02668469909650202
226,18,9.84,0.02687697283302744
227,24,9.78,0.02892745501594618
228,16,9.86,0.02198144671274349
229,18,9.84,0.033946372775567904
230,16,9.86,0.023514838016126305
231,18,9.84,0.02495573843932814
232,16,9.86,0.022966223885305226
233,16,9.86,0.019747639424167573
234,18,9.84,0.016235578080846205
235,16,9.86,0.019720076234079897
236,18,9.84,0.04673415575072997
237,16,9.86,0.018091769190505147
238,16,9.86,0.023866090647061355
239,16,9.86,0.031696586665930226
240,16,9.86,0.05141828829073347
241,18,9.84,0.025675294196440115
242,19,9.83,0.023482387125688165
243,18,9.84,0.042726819636300206
244,18,9.84,0.053930170316663056
245,17,9.85,0.07020647506065228
246,16,9.86,0.02819353435188532
247,16,9.86,0.018354917876422405
248,16,9.86,0.0174507129995618
249,16,9.86,0.03256981066078879
250,16,9.86,0.03445564172579907
251,18,9.84,0.026502422548623547
252,17,9.85,0.02990138212985852
253,16,9.86,0.03875342488754541
254,18,9.84,0.021325087692174647
255,16,9.86,0.022511153569212183
256,19,9.83,0.038057826214322917
257,16,9.86,0.02104584118933417
258,18,9.84,0.019026442896574736
259,18,9.84,0.03672622227006488
260,17,9.85,0.017247231307384724
261,16,9.86,0.038082774670328945
262,18,9.84,0.04351970837968919
263,16,9.86,0.03268050602491712
264,17,9.85,0.02431390916599947
265,18,9.84,0.029611686057048954
266,16,9.86,0.032994742097798735
267,16,9.86,0.018491339491447434
268,20,9.82,0.035654674528632316
269,16,9.86,0.03196895345172379
270,16,9.86,0.021010580523579847
271,16,9.86,0.02928641071775928
272,16,9.86,0.031433782874955796
273,16,9.86,0.027537942602066323
274,20,9.82,0.04077999719884247
275,18,9.84,0.021457427051953144
276,17,9.85,0.026603337925146606
277,16,9.86,0.029102704065735452
278,16,9.86,0.020159037201665342
279,16,9.86,0.01647588235209696
280,17,9.85,0.03879975256345728
281,16,9.86,0.027426899352576584
282,16,9.86,0.016107394883874804
283,17,9.85,0.01568307029083371
284,20,9.82,0.02707423623651266
285,18,9.84,0.019400393331630364
286,16,9.86,0.05151548176945653
287,16,9.86,0.03982348745921627
288,16,9.86,0.03363904933212325
289,17,9.85,0.013638040900011273
290,20,9.82,0.03380593807669356
291,16,9.86,0.06404209544416517
292,16,9.86,0.0335293558309786
293,16,9.86,0.03215289345826022
294,16,9.86,0.028482179390266538
295,16,9.86,0.022949516744120046
296,26,9.76,0.0340452641248703
297,16,9.86,0.024903674697270617
298,16,9.86,0.0401546873326879
299,16,9.86,0.013308048073668033
300,16,9.86,0.015189185869530775
301,22,9.8,0.017998653633350677
302,16,9.86,0.03523424392915331
303,16,9.86,0.012027455646602903
304,16,9.86,0.025897979459841736
305,18,9.84,0.028133259335946705
306,16,9.86,0.03888991923304275
307,16,9.86,0.0236750381445745
308,17,9.85,0.020919473444604698
309,16,9.86,0.016690489268512465
310,16,9.86,0.02838365589559544
311,16,9.86,0.019379067845875397
312,19,9.83,0.014240837790758201
313,16,9.86,0.034247629781020805
314,18,9.84,0.018537879274744127
315,16,9.86,0.023286846320843324
316,17,9.85,0.024153500452966374
317,17,9.85,0.015492800636874401
318,16,9.86,0.01648605706213857
319,16,9.86,0.02601888304343447
320,16,9.86,0.02137273886182811
321,16,9.86,0.02151569162379019
322,18,9.84,0.022493642250386376
323,18,9.84,0.01953491152057217
324,16,9.86,0.013981750220409594
325,16,9.86,0.022224174565053545
326,16,9.86,0.01655119951465167
327,16,9.86,0.021643211446644273
328,18,9.84,0.021525060331138473
329,24,9.78,0.02379812629078515
330,16,9.86,0.03658341648406349
331,16,9.86,0.010770444670924917
332,16,9.86,0.028416912333341315
333,16,9.86,0.012940353670273907
334,16,9.86,0.018700300017371774
