episode,steps,rewards,loss
1,100,-1.0000000000000007,10.728887131214142
2,100,-1.0000000000000007,0.9956804125010967
3,100,-1.0000000000000007,0.26248588256537914
4,100,-1.0000000000000007,0.3174065101146698
5,100,-1.0000000000000007,0.30930842012166976
6,100,-1.0000000000000007,0.28100590467453
7,100,-1.0000000000000007,0.26738491266965864
8,60,9.42,0.23967590928077698
9,23,9.79,0.32819040637949237
10,21,9.81,0.35327225781622384
11,100,-1.0000000000000007,0.2668032082123682
12,100,-1.0000000000000007,0.24026815101504326
13,100,-1.0000000000000007,0.3143967700144276
14,100,-1.0000000000000007,0.16228117974475026
15,100,-1.0000000000000007,0.2511563228117302
16,100,-1.0000000000000007,0.13160116272978484
17,100,-1.0000000000000007,0.18458351974375545
18,100,-1.0000000000000007,0.14375625789631158
19,100,-1.0000000000000007,0.13898836296051742
20,100,-1.0000000000000007,0.0990493140835315
21,100,-1.0000000000000007,0.16389797468669712
22,100,-1.0000000000000007,0.0870441385381855
23,100,-1.0000000000000007,0.05936911986442283
24,100,-1.0000000000000007,0.040562888341955844
25,100,-1.0000000000000007,0.023349920288892462
26,100,-1.0000000000000007,0.056312334325630216
27,100,-1.0000000000000007,0.07845823959913105
28,100,-1.0000000000000007,0.10308648622129113
29,100,-1.0000000000000007,0.08419281777809375
30,100,-1.0000000000000007,0.009687245106324554
31,70,9.32,0.05044679576863668
32,100,-1.0000000000000007,0.07436557704932056
33,100,-1.0000000000000007,0.09408525884791744
34,100,-1.0000000000000007,0.06389013147330842
35,100,-1.0000000000000007,0.010787459099665284
36,100,-1.0000000000000007,0.0742702169448603
37,100,-1.0000000000000007,0.04685095780150732
38,100,-1.0000000000000007,0.04211719232727774
39,100,-1.0000000000000007,0.04872799834585748
40,100,-1.0000000000000007,0.04068036492972169
41,100,-1.0000000000000007,0.06055942303850315
42,100,-1.0000000000000007,0.04253279880620539
43,77,9.25,0.008098914808073602
44,100,-1.0000000000000007,0.05721110392885748
45,76,9.26,0.1845221592942069
46,100,-1.0000000000000007,0.09727685046382248
47,100,-1.0000000000000007,0.04730801508296281
48,100,-1.0000000000000007,0.06522760057705454
49,100,-1.0000000000000007,0.10265547035029159
50,100,-1.0000000000000007,0.09807780129602178
51,55,9.469999999999999,0.06822179982184687
52,65,9.37,0.020248806678976577
53,100,-1.0000000000000007,0.04408082338399254
54,63,9.39,0.12419223968153967
55,100,-1.0000000000000007,0.16874517661286517
56,100,-1.0000000000000007,0.06284648199682125
57,100,-1.0000000000000007,0.1355808501318097
58,100,-1.0000000000000007,0.042446974058402705
59,66,9.36,0.08162982637683551
60,100,-1.0000000000000007,0.10542343316250481
61,48,9.54,0.0989421918008399
62,100,-1.0000000000000007,0.08770854062167928
63,40,9.62,0.0905367185769137
64,94,9.08,0.06609416235872406
65,47,9.549999999999999,0.08622482086115694
66,66,9.36,0.09009635436990665
67,49,9.53,0.15420028132538557
68,54,9.48,0.2847554734994278
69,94,9.08,0.10228635489499752
70,50,9.52,0.12316233007702976
71,27,9.75,0.1329623001317183
72,100,-1.0000000000000007,0.12059572427533567
73,20,9.82,0.20664807837456464
74,32,9.7,0.2668936312547885
75,39,9.629999999999999,0.1756015651119061
76,100,-1.0000000000000007,0.15697118457406758
77,100,-1.0000000000000007,0.14603026864118873
78,100,-1.0000000000000007,0.15834167467430235
79,79,9.23,0.06014955293717263
80,68,9.34,0.12723250051631646
81,51,9.51,0.11972024881591399
82,100,-1.0000000000000007,0.11527168559841812
83,31,9.709999999999999,0.09758729562764207
84,58,9.44,0.14404264113319845
85,61,9.41,0.13354228450687694
86,44,9.58,0.04948659666644579
87,19,9.83,0.10910851459362005
88,29,9.73,0.08674942252450976
89,39,9.629999999999999,0.1309730349920499
90,57,9.45,0.12912069105853638
91,41,9.61,0.18214182719224836
92,79,9.23,0.1238397855099432
93,101,9.01,0.1763696880218121
94,100,-1.0000000000000007,0.12263045066967607
95,100,-1.0000000000000007,0.16609879521653056
96,100,-1.0000000000000007,0.11669800505042076
97,45,9.57,0.1263532126425869
98,36,9.66,0.12961060264044338
99,100,-1.0000000000000007,0.11617090551182628
100,36,9.66,0.12057698292968173
101,19,9.83,0.08904182107040756
102,100,-1.0000000000000007,0.13621549183502793
103,100,-1.0000000000000007,0.13739141451194883
104,31,9.709999999999999,0.13180336181915575
105,34,9.68,0.2070494963623145
106,28,9.74,0.07831176942480463
107,77,9.25,0.13109623738745976
108,19,9.83,0.07631650390593629
109,59,9.43,0.10435786349225347
110,21,9.81,0.07655241340398788
111,29,9.73,0.10773839775858254
112,100,-1.0000000000000007,0.11762110631912946
113,90,9.12,0.12663533776584598
114,25,9.77,0.06779156781733037
115,100,-1.0000000000000007,0.08115896033123135
116,44,9.58,0.07476669372144071
117,39,9.629999999999999,0.10517280477170761
