episode,steps,rewards,loss
1,100,-1.0000000000000007,4.596236567795277
2,100,-1.0000000000000007,0.03061854399740696
3,100,-1.0000000000000007,0.027428809255361557
4,100,-1.0000000000000007,0.02303737573325634
5,100,-1.0000000000000007,0.023072662651538848
6,100,-1.0000000000000007,0.021264610029757023
7,100,-1.0000000000000007,0.02027713991701603
8,100,-1.0000000000000007,0.019409555345773696
9,100,-1.0000000000000007,0.017676625587046146
10,100,-1.0000000000000007,0.01787519212812185
11,100,-1.0000000000000007,0.008975178115069865
12,100,-1.0000000000000007,0.006664180057123303
13,100,-1.0000000000000007,0.006034253872931003
14,100,-1.0000000000000007,0.004885757006704807
15,100,-1.0000000000000007,0.004146729288622737
16,100,-1.0000000000000007,0.0037240445474162696
17,100,-1.0000000000000007,0.0034673201432451604
18,100,-1.0000000000000007,0.0031613017013296485
19,100,-1.0000000000000007,0.00290049206931144
20,100,-1.0000000000000007,0.0027909566229209304
21,100,-1.0000000000000007,0.0014699911582283676
22,100,-1.0000000000000007,0.0011707875411957503
23,100,-1.0000000000000007,0.0011978332395665347
24,100,-1.0000000000000007,0.0010681714257225394
25,100,-1.0000000000000007,0.0009981046663597227
26,100,-1.0000000000000007,0.0009702337742783129
27,100,-1.0000000000000007,0.0009425192116759717
28,100,-1.0000000000000007,0.0007937323697842657
29,100,-1.0000000000000007,0.0008694231160916388
30,100,-1.0000000000000007,0.0008265256159938872
31,100,-1.0000000000000007,0.000709017303888686
32,100,-1.0000000000000007,0.0005863309709820897
33,100,-1.0000000000000007,0.0005897727614501492
34,100,-1.0000000000000007,0.0004916277766460553
35,100,-1.0000000000000007,0.00045304635656066237
36,100,-1.0000000000000007,0.00038113210757728666
37,100,-1.0000000000000007,0.00046757007017731665
38,100,-1.0000000000000007,0.000449767368263565
39,100,-1.0000000000000007,0.0004423052573110908
40,100,-1.0000000000000007,0.0004051185818389058
41,100,-1.0000000000000007,0.0005211820977274328
42,100,-1.0000000000000007,0.00033242413483094426
43,100,-1.0000000000000007,0.0003087255416903645
44,100,-1.0000000000000007,0.0003295610612258315
45,100,-1.0000000000000007,0.00029791261302307247
46,100,-1.0000000000000007,0.0002567957068094984
47,100,-1.0000000000000007,0.00027578448032727465
48,100,-1.0000000000000007,0.00022315178182907402
49,100,-1.0000000000000007,0.00027756326599046586
50,100,-1.0000000000000007,0.0002607275688205846
51,100,-1.0000000000000007,0.00035466996749164534
