episode,steps,rewards,loss
1,100,-1.0000000000000007,0.9412071903049946
2,100,-1.0000000000000007,0.055203419644385576
3,100,-1.0000000000000007,0.08390866417437792
4,100,-1.0000000000000007,0.07160353703424334
5,100,-1.0000000000000007,0.08317305669188499
6,64,9.379999999999999,0.0738472671364434
7,38,9.64,0.1414733004609221
8,100,-1.0000000000000007,0.31118329759687186
9,9,9.93,0.05254310535060035
10,100,-1.0000000000000007,0.41394199030473827
11,100,-1.0000000000000007,0.2836525500193238
12,12,9.9,0.2546504243897895
13,100,-1.0000000000000007,0.4878143117763102
14,100,-1.0000000000000007,0.4219051855057478
15,100,-1.0000000000000007,0.2323350174538791
16,94,9.08,0.1489282501861453
17,100,-1.0000000000000007,0.18195103018544614
18,100,-1.0000000000000007,0.30814713256433607
19,13,9.89,0.3250488552909631
20,100,-1.0000000000000007,0.2527869213744998
21,100,-1.0000000000000007,0.3165424487553537
22,100,-1.0000000000000007,0.38105917604640127
23,100,-1.0000000000000007,0.23596452118828892
24,95,9.07,0.2429284256049677
25,100,-1.0000000000000007,0.24515689082443715
26,100,-1.0000000000000007,0.34017396529205146
27,100,-1.0000000000000007,0.24160067835822702
28,100,-1.0000000000000007,0.21937220371328295
29,100,-1.0000000000000007,0.28942385389469566
30,47,9.549999999999999,0.13162446112193643
31,100,-1.0000000000000007,0.250953165339306
32,100,-1.0000000000000007,0.21695163065567613
33,100,-1.0000000000000007,0.2811981605831534
34,15,9.87,0.4158213394383589
35,100,-1.0000000000000007,0.19515701629221438
36,9,9.93,0.21206984793146452
37,100,-1.0000000000000007,0.34987218738533554
38,100,-1.0000000000000007,0.23911950373090804
39,48,9.54,0.23590384472239143
40,100,-1.0000000000000007,0.25326948253437875
41,100,-1.0000000000000007,0.18720371161587537
42,7,9.95,0.09199660058532443
43,100,-1.0000000000000007,0.22410928254015744
44,100,-1.0000000000000007,0.20641683980822564
45,100,-1.0000000000000007,0.17070340329781175
46,100,-1.0000000000000007,0.21092134644277394
47,32,9.7,0.22061907078023069
48,64,9.379999999999999,0.23045935289701447
49,7,9.95,0.3019739213798727
50,100,-1.0000000000000007,0.19205664478242399
51,100,-1.0000000000000007,0.2716000055521727
52,9,9.93,0.21374434501760536
53,49,9.53,0.2764724367203153
54,100,-1.0000000000000007,0.27946369629353285
55,100,-1.0000000000000007,0.22055377750657498
56,100,-1.0000000000000007,0.23353587946854532
57,100,-1.0000000000000007,0.3167452858667821
58,14,9.88,0.2357485344234322
59,10,9.92,0.30666245669126513
60,100,-1.0000000000000007,0.3002746125869453
61,100,-1.0000000000000007,0.21813322678208352
62,100,-1.0000000000000007,0.24666686369106172
63,17,9.85,0.2256315381211393
64,7,9.95,0.28903654856341227
65,47,9.549999999999999,0.519823099070407
66,100,-1.0000000000000007,0.23238913204520942
67,100,-1.0000000000000007,0.33714058373123407
68,19,9.83,0.5986210105842665
69,100,-1.0000000000000007,0.33112193524837497
70,43,9.59,0.11933090230233448
71,20,9.82,0.17977656926959754
72,7,9.95,0.33474953366177423
73,41,9.61,0.1957363401335187
74,3,9.99,0.05884805570046107
75,16,9.86,0.37255671713501215
