episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,62,9.39
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,85,9.16
41,100,-1.0000000000000007
42,73,9.28
43,100,-1.0000000000000007
44,100,-1.0000000000000007
45,100,-1.0000000000000007
46,35,9.66
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,100,-1.0000000000000007
51,34,9.67
52,49,9.52
53,73,9.28
54,76,9.25
55,100,-1.0000000000000007
56,47,9.54
57,83,9.18
58,47,9.54
59,25,9.76
60,100,-1.0000000000000007
61,100,-1.0000000000000007
62,100,-1.0000000000000007
63,100,-1.0000000000000007
64,55,9.459999999999999
65,36,9.65
66,100,-1.0000000000000007
67,87,9.139999999999999
68,70,9.309999999999999
69,33,9.68
70,71,9.299999999999999
71,35,9.66
72,22,9.79
73,32,9.69
74,29,9.72
75,51,9.5
76,81,9.2
77,70,9.309999999999999
78,27,9.74
79,52,9.49
80,38,9.629999999999999
81,94,9.07
82,33,9.68
83,65,9.36
84,39,9.62
85,67,9.34
86,35,9.66
87,59,9.42
88,21,9.8
89,47,9.54
90,45,9.56
91,44,9.57
92,27,9.74
93,25,9.76
94,21,9.8
95,25,9.76
96,52,9.49
97,35,9.66
98,56,9.45
99,31,9.7
100,27,9.74
101,23,9.78
102,21,9.8
103,19,9.82
104,21,9.8
105,23,9.78
106,46,9.549999999999999
107,19,9.82
108,21,9.8
109,17,9.84
110,15,9.86
111,27,9.74
112,18,9.83
113,23,9.78
114,21,9.8
115,19,9.82
116,25,9.76
117,27,9.74
118,27,9.74
119,19,9.82
120,19,9.82
121,21,9.8
122,30,9.709999999999999
123,17,9.84
124,31,9.7
125,21,9.8
126,21,9.8
127,21,9.8
128,17,9.84
129,21,9.8
130,15,9.86
131,19,9.82
132,19,9.82
133,28,9.73
134,21,9.8
135,21,9.8
136,15,9.86
137,23,9.78
138,17,9.84
139,25,9.76
140,15,9.86
141,15,9.86
142,17,9.84
143,23,9.78
144,31,9.7
145,19,9.82
146,23,9.78
147,21,9.8
148,17,9.84
149,45,9.56
150,23,9.78
151,19,9.82
152,31,9.7
153,23,9.78
154,19,9.82
155,21,9.8
156,23,9.78
157,19,9.82
158,19,9.82
159,17,9.84
160,17,9.84
161,19,9.82
162,17,9.84
163,19,9.82
164,19,9.82
165,19,9.82
166,19,9.82
167,23,9.78
168,21,9.8
169,15,9.86
170,15,9.86
171,15,9.86
172,19,9.82
173,29,9.72
174,17,9.84
175,19,9.82
176,25,9.76
177,29,9.72
178,15,9.86
179,19,9.82
180,21,9.8
181,17,9.84
182,15,9.86
183,17,9.84
184,21,9.8
185,17,9.84
186,29,9.72
187,19,9.82
188,21,9.8
189,15,9.86
190,21,9.8
191,17,9.84
192,15,9.86
193,25,9.76
194,15,9.86
195,17,9.84
196,17,9.84
197,17,9.84
198,19,9.82
199,19,9.82
200,17,9.84
201,19,9.82
202,15,9.86
203,19,9.82
204,17,9.84
205,17,9.84
206,17,9.84
207,17,9.84
