episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,99,9.02
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,44,9.57
19,98,9.03
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,46,9.549999999999999
27,53,9.48
28,34,9.67
29,100,-1.0000000000000007
30,47,9.54
31,38,9.629999999999999
32,87,9.139999999999999
33,91,9.1
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,77,9.24
37,44,9.57
38,41,9.6
39,34,9.67
40,69,9.32
41,40,9.61
42,74,9.27
43,63,9.379999999999999
44,45,9.56
45,61,9.4
46,29,9.72
47,100,-1.0000000000000007
48,50,9.51
49,39,9.62
50,28,9.73
51,55,9.459999999999999
52,39,9.62
53,35,9.66
54,48,9.53
55,53,9.48
56,26,9.75
57,87,9.139999999999999
58,38,9.629999999999999
59,53,9.48
60,17,9.84
61,44,9.57
62,63,9.379999999999999
63,51,9.5
64,53,9.48
65,20,9.81
66,29,9.72
67,76,9.25
68,52,9.49
69,58,9.43
70,21,9.8
71,21,9.8
72,19,9.82
73,17,9.84
74,21,9.8
75,18,9.83
76,24,9.77
77,24,9.77
78,20,9.81
79,35,9.66
80,21,9.8
81,48,9.53
82,14,9.87
83,14,9.87
84,15,9.86
85,14,9.87
86,14,9.87
87,14,9.87
88,14,9.87
89,14,9.87
90,14,9.87
91,14,9.87
92,14,9.87
93,14,9.87
94,14,9.87
95,14,9.87
96,14,9.87
97,14,9.87
98,14,9.87
99,14,9.87
100,14,9.87
101,14,9.87
102,14,9.87
103,14,9.87
104,14,9.87
105,14,9.87
106,14,9.87
107,14,9.87
108,14,9.87
109,14,9.87
110,14,9.87
111,14,9.87
112,14,9.87
113,14,9.87
114,14,9.87
115,14,9.87
116,14,9.87
117,14,9.87
118,14,9.87
119,14,9.87
120,14,9.87
121,14,9.87
122,14,9.87
123,14,9.87
124,14,9.87
125,14,9.87
126,14,9.87
127,14,9.87
128,14,9.87
129,14,9.87
130,14,9.87
131,14,9.87
132,14,9.87
133,14,9.87
134,14,9.87
135,14,9.87
136,14,9.87
137,14,9.87
138,14,9.87
139,14,9.87
140,14,9.87
141,14,9.87
142,14,9.87
143,14,9.87
144,14,9.87
145,14,9.87
146,14,9.87
147,14,9.87
148,14,9.87
149,14,9.87
150,14,9.87
151,14,9.87
152,14,9.87
153,14,9.87
154,14,9.87
155,14,9.87
156,14,9.87
157,14,9.87
158,14,9.87
159,14,9.87
160,14,9.87
161,14,9.87
162,14,9.87
163,14,9.87
164,14,9.87
165,14,9.87
166,14,9.87
167,14,9.87
168,14,9.87
169,14,9.87
170,14,9.87
171,14,9.87
172,14,9.87
173,14,9.87
174,14,9.87
175,14,9.87
176,14,9.87
177,14,9.87
178,14,9.87
179,14,9.87
180,14,9.87
181,14,9.87
182,14,9.87
183,14,9.87
184,14,9.87
185,14,9.87
186,14,9.87
187,14,9.87
188,14,9.87
189,14,9.87
190,14,9.87
191,14,9.87
192,14,9.87
193,14,9.87
194,14,9.87
195,14,9.87
196,14,9.87
197,14,9.87
198,14,9.87
199,14,9.87
200,14,9.87
201,14,9.87
202,14,9.87
203,14,9.87
204,14,9.87
205,14,9.87
206,14,9.87
207,14,9.87
208,14,9.87
209,14,9.87
210,14,9.87
211,14,9.87
212,14,9.87
213,14,9.87
214,14,9.87
215,14,9.87
216,14,9.87
217,14,9.87
218,14,9.87
219,14,9.87
220,14,9.87
221,14,9.87
222,14,9.87
223,14,9.87
224,14,9.87
225,14,9.87
226,14,9.87
