episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,41,9.6
34,47,9.54
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,52,9.49
43,52,9.49
44,52,9.49
45,100,-1.0000000000000007
46,100,-1.0000000000000007
47,91,9.1
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,83,9.18
51,41,9.6
52,40,9.61
53,100,-1.0000000000000007
54,100,-1.0000000000000007
55,100,-1.0000000000000007
56,100,-1.0000000000000007
57,100,-1.0000000000000007
58,100,-1.0000000000000007
59,38,9.629999999999999
60,56,9.45
61,84,9.17
62,48,9.53
63,100,-1.0000000000000007
64,33,9.68
65,100,-1.0000000000000007
66,100,-1.0000000000000007
67,100,-1.0000000000000007
68,71,9.299999999999999
69,77,9.24
70,100,-1.0000000000000007
71,100,-1.0000000000000007
72,80,9.209999999999999
73,26,9.75
74,98,9.03
75,57,9.44
76,30,9.709999999999999
77,28,9.73
78,31,9.7
79,24,9.77
80,40,9.61
81,67,9.34
82,63,9.379999999999999
83,30,9.709999999999999
84,24,9.77
85,28,9.73
86,35,9.66
87,20,9.81
88,68,9.33
89,33,9.68
90,35,9.66
91,24,9.77
92,32,9.69
93,48,9.53
94,20,9.81
95,73,9.28
96,22,9.79
97,20,9.81
98,74,9.27
99,41,9.6
100,20,9.81
101,40,9.61
102,18,9.83
103,38,9.629999999999999
104,36,9.65
105,25,9.76
106,22,9.79
107,46,9.549999999999999
108,18,9.83
109,20,9.81
110,22,9.79
111,49,9.52
112,20,9.81
113,24,9.77
114,21,9.8
115,26,9.75
116,28,9.73
117,16,9.85
118,20,9.81
119,22,9.79
120,18,9.83
121,16,9.85
122,35,9.66
123,22,9.79
124,26,9.75
125,20,9.81
126,18,9.83
127,22,9.79
128,46,9.549999999999999
129,28,9.73
130,20,9.81
131,22,9.79
132,20,9.81
133,16,9.85
134,35,9.66
135,22,9.79
136,18,9.83
137,18,9.83
138,26,9.75
139,26,9.75
140,20,9.81
141,18,9.83
142,24,9.77
143,20,9.81
144,18,9.83
145,30,9.709999999999999
146,20,9.81
147,16,9.85
148,20,9.81
149,16,9.85
150,16,9.85
151,16,9.85
152,22,9.79
153,22,9.79
154,26,9.75
155,18,9.83
156,24,9.77
157,24,9.77
158,18,9.83
159,16,9.85
160,18,9.83
161,20,9.81
162,26,9.75
163,18,9.83
164,22,9.79
165,18,9.83
166,18,9.83
167,16,9.85
168,16,9.85
169,22,9.79
170,22,9.79
171,18,9.83
172,18,9.83
173,20,9.81
174,16,9.85
175,16,9.85
176,18,9.83
177,20,9.81
178,18,9.83
179,20,9.81
180,16,9.85
181,18,9.83
182,22,9.79
183,18,9.83
184,22,9.79
185,18,9.83
186,26,9.75
187,18,9.83
188,18,9.83
189,18,9.83
190,18,9.83
191,20,9.81
192,18,9.83
193,20,9.81
194,22,9.79
195,24,9.77
196,20,9.81
197,18,9.83
198,18,9.83
199,18,9.83
200,18,9.83
201,20,9.81
202,18,9.83
203,22,9.79
