episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,84,4.17
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,86,4.1499999999999995
38,100,-1.0000000000000007
39,22,4.79
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,100,-1.0000000000000007
44,100,4.01
45,100,-1.0000000000000007
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,73,4.279999999999999
51,65,4.359999999999999
52,100,-1.0000000000000007
53,72,4.289999999999999
54,100,-1.0000000000000007
55,100,-1.0000000000000007
56,81,4.199999999999999
57,54,4.47
58,100,-1.0000000000000007
59,72,4.289999999999999
60,100,-1.0000000000000007
61,100,-1.0000000000000007
62,46,4.55
63,47,4.54
64,55,4.46
65,100,-1.0000000000000007
66,100,-1.0000000000000007
67,90,4.109999999999999
68,38,4.63
69,42,4.59
70,100,-1.0000000000000007
71,24,4.77
72,44,4.569999999999999
73,86,4.1499999999999995
74,42,4.59
75,82,4.1899999999999995
76,77,4.239999999999999
77,28,4.7299999999999995
78,64,4.369999999999999
79,30,4.71
80,47,4.54
81,83,4.18
82,74,4.27
83,38,4.63
84,58,4.43
85,26,4.75
86,25,4.76
87,32,4.6899999999999995
88,31,4.7
89,44,4.569999999999999
90,80,4.209999999999999
91,56,4.449999999999999
92,46,4.55
93,45,4.56
94,35,4.66
95,26,4.75
96,38,4.63
97,52,4.49
98,38,4.63
99,28,4.7299999999999995
100,32,4.6899999999999995
101,33,4.68
102,32,4.6899999999999995
103,37,4.64
104,44,4.569999999999999
105,38,4.63
106,30,4.71
107,35,4.66
108,22,4.79
109,22,4.79
110,24,4.77
111,34,4.67
112,36,4.6499999999999995
113,36,4.6499999999999995
114,54,4.47
115,57,4.4399999999999995
116,36,4.6499999999999995
117,20,4.81
118,24,4.77
119,18,4.83
120,28,4.7299999999999995
121,31,4.7
122,48,4.529999999999999
123,30,4.71
124,38,4.63
125,22,4.79
126,34,4.67
127,30,4.71
128,20,4.81
129,24,4.77
130,40,4.609999999999999
131,18,4.83
132,28,4.7299999999999995
133,22,4.79
134,24,4.77
135,44,4.569999999999999
136,30,4.71
137,20,4.81
138,28,4.7299999999999995
139,28,4.7299999999999995
140,26,4.75
141,28,4.7299999999999995
142,28,4.7299999999999995
143,28,4.7299999999999995
144,28,4.7299999999999995
145,24,4.77
146,22,4.79
147,32,4.6899999999999995
148,24,4.77
149,20,4.81
150,22,4.79
151,36,4.6499999999999995
152,28,4.7299999999999995
153,26,4.75
154,40,4.609999999999999
155,20,4.81
156,32,4.6899999999999995
157,24,4.77
158,24,4.77
159,26,4.75
160,24,4.77
161,18,4.83
162,38,4.63
163,24,4.77
164,26,4.75
165,18,4.83
166,30,4.71
167,30,4.71
168,28,4.7299999999999995
169,22,4.79
170,32,4.6899999999999995
171,39,4.62
172,28,4.7299999999999995
173,24,4.77
174,20,4.81
175,24,4.77
176,20,4.81
177,22,4.79
178,18,4.83
179,28,4.7299999999999995
180,24,4.77
181,24,4.77
182,20,4.81
183,22,4.79
