episode,steps,rewards
1,100,-0.4000000000000003
2,100,-0.4000000000000003
3,100,-0.4000000000000003
4,100,-0.4000000000000003
5,100,-0.4000000000000003
6,100,-0.4000000000000003
7,100,-0.4000000000000003
8,100,-0.4000000000000003
9,100,-0.4000000000000003
10,100,-0.4000000000000003
11,100,-0.4000000000000003
12,100,-0.4000000000000003
13,100,-0.4000000000000003
14,100,-0.4000000000000003
15,100,-0.4000000000000003
16,100,-0.4000000000000003
17,100,-0.4000000000000003
18,98,9.612
19,100,-0.4000000000000003
20,87,9.656
21,100,-0.4000000000000003
22,100,-0.4000000000000003
23,100,-0.4000000000000003
24,100,-0.4000000000000003
25,100,-0.4000000000000003
26,100,-0.4000000000000003
27,100,-0.4000000000000003
28,100,-0.4000000000000003
29,100,-0.4000000000000003
30,100,-0.4000000000000003
31,100,-0.4000000000000003
32,83,9.672
33,100,-0.4000000000000003
34,83,9.672
35,100,-0.4000000000000003
36,56,9.78
37,100,-0.4000000000000003
38,100,-0.4000000000000003
39,100,-0.4000000000000003
40,100,-0.4000000000000003
41,100,-0.4000000000000003
42,100,-0.4000000000000003
43,88,9.652
44,100,-0.4000000000000003
45,100,-0.4000000000000003
46,54,9.788
47,100,-0.4000000000000003
48,100,-0.4000000000000003
49,100,-0.4000000000000003
50,100,-0.4000000000000003
51,100,-0.4000000000000003
52,100,-0.4000000000000003
53,49,9.808
54,87,9.656
55,82,9.676
56,64,9.748
57,78,9.692
58,100,-0.4000000000000003
59,100,-0.4000000000000003
60,100,9.604
61,100,-0.4000000000000003
62,32,9.876
63,54,9.788
64,100,-0.4000000000000003
65,100,-0.4000000000000003
66,47,9.816
67,79,9.688
68,59,9.768
69,31,9.88
70,50,9.804
71,34,9.868
72,80,9.684
73,100,-0.4000000000000003
74,64,9.748
75,23,9.912
76,36,9.86
77,26,9.9
78,60,9.764
79,54,9.788
80,72,9.716
81,42,9.836
82,34,9.868
83,100,-0.4000000000000003
84,36,9.86
85,29,9.888
86,16,9.94
87,26,9.9
88,17,9.936
89,50,9.804
90,39,9.848
91,87,9.656
92,67,9.736
93,48,9.812
94,65,9.744
95,20,9.924
96,28,9.892
97,18,9.932
98,41,9.84
99,24,9.908
100,24,9.908
101,61,9.76
102,50,9.804
103,42,9.836
104,29,9.888
105,35,9.864
106,18,9.932
107,19,9.928
108,36,9.86
109,65,9.744
110,18,9.932
111,34,9.868
112,32,9.876
113,38,9.852
114,22,9.916
115,22,9.916
116,30,9.884
117,20,9.924
118,22,9.916
119,22,9.916
120,28,9.892
121,20,9.924
122,20,9.924
123,22,9.916
124,21,9.92
125,22,9.916
126,16,9.94
127,30,9.884
128,22,9.916
129,20,9.924
130,18,9.932
131,18,9.932
132,22,9.916
133,28,9.892
134,20,9.924
135,21,9.92
136,30,9.884
137,16,9.94
138,36,9.86
139,26,9.9
140,30,9.884
141,18,9.932
142,22,9.916
143,20,9.924
144,30,9.884
145,18,9.932
146,20,9.924
147,18,9.932
148,24,9.908
149,20,9.924
150,22,9.916
151,26,9.9
152,20,9.924
153,22,9.916
154,22,9.916
155,16,9.94
156,20,9.924
157,24,9.908
158,20,9.924
159,20,9.924
160,20,9.924
161,22,9.916
162,24,9.908
163,20,9.924
164,24,9.908
165,24,9.908
166,18,9.932
167,16,9.94
168,22,9.916
169,20,9.924
170,18,9.932
171,20,9.924
172,16,9.94
173,22,9.916
174,30,9.884
175,22,9.916
176,18,9.932
177,18,9.932
178,18,9.932
179,41,9.84
180,24,9.908
181,20,9.924
182,20,9.924
183,18,9.932
184,22,9.916
185,26,9.9
186,18,9.932
187,18,9.932
188,18,9.932
189,20,9.924
190,18,9.932
191,18,9.932
192,20,9.924
193,18,9.932
194,20,9.924
195,20,9.924
196,20,9.924
197,18,9.932
198,24,9.908
199,18,9.932
200,16,9.94
201,18,9.932
202,16,9.94
203,16,9.94
204,18,9.932
205,16,9.94
206,18,9.932
207,20,9.924
208,20,9.924
209,18,9.932
210,16,9.94
211,26,9.9
212,18,9.932
213,18,9.932
214,18,9.932
215,20,9.924
216,20,9.924
217,18,9.932
218,16,9.94
219,22,9.916
220,15,9.944
221,16,9.94
222,22,9.916
223,20,9.924
224,24,9.908
225,20,9.924
226,16,9.94
227,20,9.924
228,18,9.932
229,24,9.908
230,18,9.932
231,18,9.932
232,20,9.924
233,20,9.924
234,20,9.924
235,24,9.908
236,18,9.932
237,16,9.94
238,18,9.932
239,16,9.94
240,18,9.932
241,18,9.932
242,22,9.916
243,18,9.932
244,16,9.94
245,18,9.932
246,20,9.924
247,16,9.94
248,16,9.94
249,22,9.916
250,18,9.932
251,18,9.932
252,22,9.916
253,18,9.932
254,18,9.932
255,16,9.94
256,16,9.94
257,22,9.916
258,18,9.932
259,16,9.94
260,18,9.932
261,16,9.94
262,16,9.94
263,16,9.94
264,16,9.94
265,18,9.932
266,16,9.94
267,16,9.94
268,16,9.94
269,16,9.94
270,16,9.94
271,18,9.932
272,18,9.932
273,16,9.94
274,16,9.94
275,16,9.94
276,18,9.932
277,16,9.94
278,18,9.932
279,22,9.916
280,18,9.932
281,16,9.94
282,18,9.932
283,16,9.94
284,16,9.94
285,16,9.94
286,16,9.94
287,16,9.94
288,16,9.94
289,18,9.932
290,16,9.94
291,18,9.932
292,17,9.936
293,18,9.932
294,16,9.94
295,18,9.932
296,16,9.94
297,18,9.932
298,20,9.924
299,16,9.94
300,16,9.94
301,16,9.94
302,16,9.94
303,16,9.94
304,16,9.94
305,16,9.94
306,18,9.932
307,16,9.94
308,16,9.94
309,16,9.94
310,18,9.932
311,16,9.94
312,18,9.932
313,16,9.94
314,16,9.94
315,16,9.94
316,16,9.94
317,16,9.94
318,16,9.94
319,18,9.932
320,16,9.94
321,16,9.94
322,18,9.932
323,18,9.932
324,18,9.932
325,16,9.94
326,18,9.932
327,16,9.94
328,16,9.94
329,18,9.932
330,18,9.932
331,16,9.94
332,18,9.932
333,18,9.932
334,16,9.94
335,16,9.94
336,16,9.94
337,16,9.94
338,16,9.94
339,18,9.932
340,18,9.932
341,18,9.932
342,16,9.94
343,16,9.94
344,16,9.94
345,16,9.94
346,16,9.94
347,16,9.94
348,16,9.94
349,20,9.924
350,16,9.94
351,18,9.932
352,16,9.94
353,18,9.932
354,18,9.932
355,16,9.94
356,16,9.94
357,16,9.94
358,20,9.924
359,16,9.94
360,16,9.94
361,16,9.94
362,16,9.94
363,16,9.94
364,16,9.94
365,16,9.94
366,16,9.94
367,16,9.94
368,16,9.94
369,16,9.94
370,22,9.916
371,22,9.916
372,16,9.94
373,18,9.932
374,16,9.94
375,16,9.94
376,16,9.94
377,16,9.94
378,16,9.94
379,16,9.94
380,22,9.916
381,16,9.94
382,16,9.94
383,16,9.94
384,16,9.94
385,16,9.94
386,16,9.94
387,16,9.94
388,16,9.94
389,16,9.94
390,16,9.94
391,17,9.936
392,18,9.932
393,16,9.94
394,16,9.94
395,16,9.94
396,18,9.932
397,16,9.94
398,16,9.94
399,16,9.94
400,16,9.94
401,16,9.94
402,16,9.94
403,16,9.94
404,18,9.932
405,16,9.94
406,16,9.94
407,16,9.94
408,16,9.94
409,16,9.94
410,16,9.94
411,16,9.94
412,16,9.94
413,16,9.94
414,16,9.94
415,16,9.94
416,16,9.94
417,16,9.94
418,16,9.94
419,16,9.94
420,16,9.94
421,16,9.94
422,16,9.94
423,16,9.94
424,16,9.94
425,16,9.94
426,16,9.94
427,16,9.94
428,16,9.94
429,16,9.94
430,16,9.94
431,16,9.94
432,18,9.932
433,16,9.94
434,16,9.94
435,16,9.94
436,16,9.94
437,16,9.94
438,16,9.94
439,16,9.94
440,16,9.94
441,16,9.94
442,16,9.94
443,16,9.94
444,16,9.94
445,18,9.932
446,16,9.94
447,18,9.932
448,18,9.932
449,16,9.94
450,16,9.94
451,16,9.94
452,16,9.94
453,16,9.94
454,16,9.94
455,16,9.94
456,16,9.94
457,16,9.94
458,16,9.94
459,18,9.932
460,18,9.932
461,16,9.94
462,16,9.94
463,16,9.94
464,16,9.94
465,16,9.94
466,16,9.94
467,16,9.94
468,16,9.94
469,16,9.94
470,16,9.94
471,16,9.94
472,16,9.94
473,16,9.94
474,16,9.94
475,16,9.94
476,16,9.94
477,16,9.94
478,16,9.94
479,16,9.94
480,16,9.94
481,16,9.94
482,16,9.94
483,16,9.94
484,16,9.94
485,16,9.94
486,16,9.94
487,16,9.94
488,16,9.94
489,16,9.94
490,16,9.94
491,16,9.94
492,16,9.94
493,16,9.94
494,16,9.94
495,16,9.94
496,18,9.932
497,18,9.932
498,16,9.94
499,16,9.94
500,16,9.94
