episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,15,9.86
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,90,9.11
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,86,9.149999999999999
18,99,9.02
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,44,9.57
31,56,9.45
32,100,-1.0000000000000007
33,67,9.34
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,10,9.91
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,24,9.77
44,100,-1.0000000000000007
45,100,-1.0000000000000007
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,21,9.8
51,100,-1.0000000000000007
52,51,9.5
53,100,-1.0000000000000007
54,94,9.07
55,100,-1.0000000000000007
56,100,-1.0000000000000007
57,100,-1.0000000000000007
58,100,-1.0000000000000007
59,100,-1.0000000000000007
60,100,-1.0000000000000007
61,100,-1.0000000000000007
62,100,-1.0000000000000007
63,100,-1.0000000000000007
64,100,-1.0000000000000007
65,100,-1.0000000000000007
66,100,-1.0000000000000007
67,100,-1.0000000000000007
68,100,-1.0000000000000007
69,28,9.73
70,100,-1.0000000000000007
71,100,-1.0000000000000007
72,100,-1.0000000000000007
73,40,9.61
74,100,-1.0000000000000007
75,100,-1.0000000000000007
76,100,-1.0000000000000007
77,100,-1.0000000000000007
78,100,-1.0000000000000007
79,100,-1.0000000000000007
80,100,-1.0000000000000007
81,100,-1.0000000000000007
82,100,-1.0000000000000007
83,100,-1.0000000000000007
84,100,-1.0000000000000007
85,100,-1.0000000000000007
86,100,-1.0000000000000007
87,100,-1.0000000000000007
88,100,-1.0000000000000007
89,100,-1.0000000000000007
90,76,9.25
91,13,9.88
92,100,-1.0000000000000007
93,100,-1.0000000000000007
94,100,-1.0000000000000007
95,100,-1.0000000000000007
96,100,-1.0000000000000007
97,100,-1.0000000000000007
98,100,-1.0000000000000007
99,100,-1.0000000000000007
100,100,-1.0000000000000007
101,100,-1.0000000000000007
102,13,9.88
103,67,9.34
104,31,9.7
105,100,-1.0000000000000007
106,100,-1.0000000000000007
107,100,-1.0000000000000007
108,100,-1.0000000000000007
109,100,-1.0000000000000007
110,100,-1.0000000000000007
111,100,-1.0000000000000007
112,100,-1.0000000000000007
113,88,9.129999999999999
114,100,-1.0000000000000007
115,100,-1.0000000000000007
116,100,-1.0000000000000007
117,100,-1.0000000000000007
118,100,-1.0000000000000007
119,100,-1.0000000000000007
120,100,-1.0000000000000007
121,100,-1.0000000000000007
122,84,9.17
123,100,-1.0000000000000007
124,100,-1.0000000000000007
125,100,-1.0000000000000007
126,100,-1.0000000000000007
127,100,-1.0000000000000007
128,32,9.69
129,100,-1.0000000000000007
130,100,-1.0000000000000007
131,100,-1.0000000000000007
132,100,-1.0000000000000007
133,100,-1.0000000000000007
134,100,-1.0000000000000007
135,100,-1.0000000000000007
136,100,-1.0000000000000007
137,100,-1.0000000000000007
138,100,-1.0000000000000007
139,95,9.059999999999999
140,55,9.459999999999999
141,100,-1.0000000000000007
142,100,-1.0000000000000007
143,100,-1.0000000000000007
144,100,-1.0000000000000007
145,100,-1.0000000000000007
146,100,-1.0000000000000007
147,100,-1.0000000000000007
148,71,9.299999999999999
149,100,-1.0000000000000007
150,100,-1.0000000000000007
151,100,-1.0000000000000007
152,100,-1.0000000000000007
