episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,47,9.54
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,91,9.1
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,100,-1.0000000000000007
44,100,-1.0000000000000007
45,100,-1.0000000000000007
46,24,9.77
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,100,-1.0000000000000007
51,100,-1.0000000000000007
52,100,-1.0000000000000007
53,100,-1.0000000000000007
54,100,-1.0000000000000007
55,100,-1.0000000000000007
56,100,-1.0000000000000007
57,100,-1.0000000000000007
58,100,-1.0000000000000007
59,100,-1.0000000000000007
60,85,9.16
61,100,-1.0000000000000007
62,100,-1.0000000000000007
63,100,-1.0000000000000007
64,100,-1.0000000000000007
65,100,-1.0000000000000007
66,100,-1.0000000000000007
67,100,-1.0000000000000007
68,100,-1.0000000000000007
69,100,-1.0000000000000007
70,100,-1.0000000000000007
71,100,-1.0000000000000007
72,99,9.02
73,100,9.01
74,100,-1.0000000000000007
75,100,-1.0000000000000007
76,100,-1.0000000000000007
77,100,-1.0000000000000007
78,100,-1.0000000000000007
79,100,-1.0000000000000007
80,63,9.379999999999999
81,100,-1.0000000000000007
82,100,-1.0000000000000007
83,100,-1.0000000000000007
84,95,9.059999999999999
85,100,-1.0000000000000007
86,100,-1.0000000000000007
87,53,9.48
88,46,9.549999999999999
89,48,9.53
90,11,9.9
91,100,-1.0000000000000007
92,100,-1.0000000000000007
93,100,-1.0000000000000007
94,100,-1.0000000000000007
95,100,-1.0000000000000007
96,100,-1.0000000000000007
97,100,-1.0000000000000007
98,100,-1.0000000000000007
99,100,-1.0000000000000007
100,100,-1.0000000000000007
101,100,-1.0000000000000007
102,100,-1.0000000000000007
103,45,9.56
104,100,-1.0000000000000007
105,100,-1.0000000000000007
106,33,9.68
107,100,-1.0000000000000007
108,76,9.25
109,30,9.709999999999999
110,96,9.049999999999999
111,100,-1.0000000000000007
112,100,-1.0000000000000007
113,100,-1.0000000000000007
114,100,-1.0000000000000007
115,100,-1.0000000000000007
116,100,-1.0000000000000007
117,2,9.99
118,100,-1.0000000000000007
119,14,9.87
120,25,9.76
121,100,-1.0000000000000007
122,100,-1.0000000000000007
123,12,9.89
124,75,9.26
125,100,-1.0000000000000007
126,100,-1.0000000000000007
127,100,-1.0000000000000007
128,87,9.139999999999999
129,94,9.07
130,100,-1.0000000000000007
131,100,-1.0000000000000007
132,65,9.36
133,100,-1.0000000000000007
134,100,-1.0000000000000007
135,100,-1.0000000000000007
136,12,9.89
137,100,-1.0000000000000007
138,100,-1.0000000000000007
139,100,-1.0000000000000007
140,78,9.23
141,100,-1.0000000000000007
142,100,-1.0000000000000007
143,47,9.54
144,33,9.68
145,100,-1.0000000000000007
146,100,-1.0000000000000007
147,100,-1.0000000000000007
148,39,9.62
149,100,-1.0000000000000007
150,68,9.33
151,100,-1.0000000000000007
152,88,9.129999999999999
153,100,-1.0000000000000007
154,42,9.59
155,100,-1.0000000000000007
