episode,steps,rewards
1,100,-0.4000000000000003
2,100,-0.4000000000000003
3,100,-0.4000000000000003
4,100,-0.4000000000000003
5,100,-0.4000000000000003
6,100,-0.4000000000000003
7,100,-0.4000000000000003
8,100,-0.4000000000000003
9,100,-0.4000000000000003
10,100,-0.4000000000000003
11,100,-0.4000000000000003
12,22,9.916
13,100,-0.4000000000000003
14,100,-0.4000000000000003
15,100,-0.4000000000000003
16,100,-0.4000000000000003
17,69,9.728
18,100,-0.4000000000000003
19,100,-0.4000000000000003
20,100,-0.4000000000000003
21,100,-0.4000000000000003
22,14,9.948
23,100,-0.4000000000000003
24,100,-0.4000000000000003
25,100,-0.4000000000000003
26,100,-0.4000000000000003
27,100,-0.4000000000000003
28,100,-0.4000000000000003
29,100,-0.4000000000000003
30,100,-0.4000000000000003
31,100,-0.4000000000000003
32,100,-0.4000000000000003
33,100,-0.4000000000000003
34,100,-0.4000000000000003
35,100,-0.4000000000000003
36,100,-0.4000000000000003
37,100,-0.4000000000000003
38,100,-0.4000000000000003
39,100,-0.4000000000000003
40,100,-0.4000000000000003
41,100,-0.4000000000000003
42,14,9.948
43,100,-0.4000000000000003
44,100,-0.4000000000000003
45,73,9.712
46,100,-0.4000000000000003
47,100,-0.4000000000000003
48,30,9.884
49,100,-0.4000000000000003
50,100,-0.4000000000000003
51,100,-0.4000000000000003
52,100,-0.4000000000000003
53,100,-0.4000000000000003
54,100,-0.4000000000000003
55,100,-0.4000000000000003
56,77,9.696
57,100,-0.4000000000000003
58,100,-0.4000000000000003
59,22,9.916
60,100,-0.4000000000000003
61,100,-0.4000000000000003
62,100,-0.4000000000000003
63,100,-0.4000000000000003
64,100,-0.4000000000000003
65,100,-0.4000000000000003
66,100,-0.4000000000000003
67,100,-0.4000000000000003
68,100,-0.4000000000000003
69,100,-0.4000000000000003
70,100,-0.4000000000000003
71,100,-0.4000000000000003
72,29,9.888
73,100,-0.4000000000000003
74,61,9.76
75,51,9.8
76,100,-0.4000000000000003
77,100,-0.4000000000000003
78,100,-0.4000000000000003
79,100,-0.4000000000000003
80,100,-0.4000000000000003
81,100,-0.4000000000000003
82,100,-0.4000000000000003
83,54,9.788
84,100,-0.4000000000000003
85,38,9.852
86,100,-0.4000000000000003
87,100,-0.4000000000000003
88,100,-0.4000000000000003
89,100,-0.4000000000000003
90,100,-0.4000000000000003
91,100,-0.4000000000000003
92,100,-0.4000000000000003
93,48,9.812
94,100,-0.4000000000000003
95,59,9.768
96,100,-0.4000000000000003
97,100,-0.4000000000000003
98,100,-0.4000000000000003
99,7,9.976
100,100,-0.4000000000000003
101,100,-0.4000000000000003
102,100,-0.4000000000000003
103,100,-0.4000000000000003
104,58,9.772
105,73,9.712
106,100,-0.4000000000000003
107,100,-0.4000000000000003
108,70,9.724
109,17,9.936
110,100,-0.4000000000000003
111,63,9.752
112,100,-0.4000000000000003
113,100,-0.4000000000000003
114,100,-0.4000000000000003
115,100,-0.4000000000000003
116,100,-0.4000000000000003
117,100,-0.4000000000000003
118,100,-0.4000000000000003
119,55,9.784
120,100,-0.4000000000000003
121,100,-0.4000000000000003
122,100,-0.4000000000000003
123,100,-0.4000000000000003
124,100,-0.4000000000000003
125,79,9.688
126,34,9.868
127,100,-0.4000000000000003
128,100,-0.4000000000000003
129,100,-0.4000000000000003
130,100,-0.4000000000000003
131,78,9.692
132,100,-0.4000000000000003
133,100,-0.4000000000000003
134,100,-0.4000000000000003
135,100,-0.4000000000000003
136,76,9.7
137,82,9.676
138,74,9.708
139,34,9.868
140,100,-0.4000000000000003
141,100,-0.4000000000000003
142,100,-0.4000000000000003
143,100,-0.4000000000000003
144,100,-0.4000000000000003
145,86,9.66
146,100,-0.4000000000000003
147,43,9.832
148,100,-0.4000000000000003
149,100,-0.4000000000000003
150,100,-0.4000000000000003
151,100,-0.4000000000000003
152,70,9.724
153,100,-0.4000000000000003
154,73,9.712
155,100,-0.4000000000000003
156,28,9.892
157,100,-0.4000000000000003
158,100,-0.4000000000000003
159,100,-0.4000000000000003
160,100,-0.4000000000000003
161,100,-0.4000000000000003
162,100,-0.4000000000000003
163,100,-0.4000000000000003
164,100,-0.4000000000000003
165,100,-0.4000000000000003
166,100,-0.4000000000000003
167,100,-0.4000000000000003
168,99,9.608
169,100,-0.4000000000000003
170,7,9.976
171,100,-0.4000000000000003
172,100,-0.4000000000000003
173,92,9.636
174,100,-0.4000000000000003
175,32,9.876
176,15,9.944
177,43,9.832
178,19,9.928
179,100,-0.4000000000000003
180,34,9.868
181,100,-0.4000000000000003
182,100,-0.4000000000000003
183,79,9.688
184,100,-0.4000000000000003
185,86,9.66
186,34,9.868
187,100,-0.4000000000000003
188,100,-0.4000000000000003
189,85,9.664
190,86,9.66
191,54,9.788
192,100,-0.4000000000000003
193,100,-0.4000000000000003
194,100,-0.4000000000000003
195,45,9.824
196,100,-0.4000000000000003
197,95,9.624
198,100,-0.4000000000000003
199,100,-0.4000000000000003
200,100,-0.4000000000000003
201,88,9.652
202,100,-0.4000000000000003
203,49,9.808
204,62,9.756
205,100,-0.4000000000000003
206,100,-0.4000000000000003
207,44,9.828
208,100,-0.4000000000000003
209,83,9.672
210,58,9.772
211,71,9.72
212,100,-0.4000000000000003
213,100,-0.4000000000000003
214,100,-0.4000000000000003
215,100,-0.4000000000000003
216,100,-0.4000000000000003
217,65,9.744
218,100,-0.4000000000000003
219,100,-0.4000000000000003
220,66,9.74
221,100,-0.4000000000000003
222,100,-0.4000000000000003
223,89,9.648
224,17,9.936
225,100,-0.4000000000000003
226,4,9.988
227,17,9.936
228,100,-0.4000000000000003
229,100,-0.4000000000000003
230,88,9.652
231,92,9.636
232,37,9.856
233,100,-0.4000000000000003
234,46,9.82
235,100,-0.4000000000000003
236,100,-0.4000000000000003
237,47,9.816
238,100,-0.4000000000000003
239,100,-0.4000000000000003
240,100,-0.4000000000000003
241,12,9.956
242,100,-0.4000000000000003
243,21,9.92
244,100,-0.4000000000000003
245,37,9.856
246,31,9.88
247,62,9.756
248,100,-0.4000000000000003
249,100,-0.4000000000000003
250,100,-0.4000000000000003
251,100,-0.4000000000000003
252,25,9.904
253,100,-0.4000000000000003
254,100,-0.4000000000000003
255,17,9.936
256,85,9.664
257,100,-0.4000000000000003
258,15,9.944
259,100,-0.4000000000000003
260,100,-0.4000000000000003
261,29,9.888
262,100,-0.4000000000000003
263,100,-0.4000000000000003
264,100,-0.4000000000000003
265,100,-0.4000000000000003
266,100,-0.4000000000000003
267,100,-0.4000000000000003
268,100,-0.4000000000000003
269,100,-0.4000000000000003
270,32,9.876
271,36,9.86
272,65,9.744
273,8,9.972
274,40,9.844
275,79,9.688
276,100,-0.4000000000000003
277,100,-0.4000000000000003
278,100,-0.4000000000000003
279,100,-0.4000000000000003
280,70,9.724
281,100,-0.4000000000000003
282,42,9.836
283,60,9.764
284,100,-0.4000000000000003
285,21,9.92
286,100,-0.4000000000000003
287,100,-0.4000000000000003
288,46,9.82
289,100,-0.4000000000000003
290,57,9.776
291,89,9.648
292,17,9.936
293,48,9.812
294,100,-0.4000000000000003
295,66,9.74
296,33,9.872
297,24,9.908
298,90,9.644
299,49,9.808
300,12,9.956
301,9,9.968
302,100,-0.4000000000000003
303,100,-0.4000000000000003
304,100,-0.4000000000000003
305,62,9.756
306,49,9.808
307,100,-0.4000000000000003
308,10,9.964
309,100,-0.4000000000000003
310,48,9.812
311,78,9.692
312,55,9.784
313,100,-0.4000000000000003
314,100,-0.4000000000000003
315,41,9.84
316,100,-0.4000000000000003
317,100,-0.4000000000000003
318,100,-0.4000000000000003
319,100,-0.4000000000000003
320,100,-0.4000000000000003
321,43,9.832
322,43,9.832
323,100,-0.4000000000000003
324,100,-0.4000000000000003
325,82,9.676
326,82,9.676
327,13,9.952
328,54,9.788
329,70,9.724
330,43,9.832
331,100,-0.4000000000000003
332,73,9.712
333,42,9.836
334,56,9.78
335,100,-0.4000000000000003
336,70,9.724
337,62,9.756
338,13,9.952
339,38,9.852
340,100,-0.4000000000000003
341,100,-0.4000000000000003
342,49,9.808
343,100,-0.4000000000000003
344,100,-0.4000000000000003
345,81,9.68
346,79,9.688
347,44,9.828
348,100,-0.4000000000000003
349,76,9.7
350,100,-0.4000000000000003
351,100,-0.4000000000000003
352,67,9.736
353,95,9.624
354,64,9.748
355,28,9.892
356,100,-0.4000000000000003
357,100,-0.4000000000000003
358,100,-0.4000000000000003
359,93,9.632
360,37,9.856
361,100,-0.4000000000000003
362,71,9.72
363,64,9.748
364,30,9.884
365,100,-0.4000000000000003
366,30,9.884
367,100,-0.4000000000000003
368,100,-0.4000000000000003
369,74,9.708
370,62,9.756
371,14,9.948
372,85,9.664
373,78,9.692
374,28,9.892
375,67,9.736
376,100,-0.4000000000000003
377,79,9.688
378,62,9.756
379,5,9.984
380,65,9.744
381,45,9.824
382,100,-0.4000000000000003
383,100,-0.4000000000000003
384,100,-0.4000000000000003
385,100,-0.4000000000000003
386,97,9.616
387,20,9.924
388,33,9.872
389,100,-0.4000000000000003
390,90,9.644
391,27,9.896
392,49,9.808
393,83,9.672
394,15,9.944
395,100,-0.4000000000000003
396,63,9.752
397,83,9.672
398,100,-0.4000000000000003
399,79,9.688
400,78,9.692
401,100,-0.4000000000000003
402,100,-0.4000000000000003
403,44,9.828
404,45,9.824
405,42,9.836
406,24,9.908
407,65,9.744
408,100,-0.4000000000000003
409,34,9.868
410,44,9.828
411,16,9.94
412,91,9.64
413,23,9.912
414,8,9.972
415,100,-0.4000000000000003
416,68,9.732
417,20,9.924
418,64,9.748
419,47,9.816
420,80,9.684
421,99,9.608
422,31,9.88
423,78,9.692
424,54,9.788
425,53,9.792
426,16,9.94
427,77,9.696
428,40,9.844
429,66,9.74
430,17,9.936
431,56,9.78
432,34,9.868
433,55,9.784
434,24,9.908
435,100,-0.4000000000000003
436,79,9.688
437,15,9.944
438,57,9.776
439,67,9.736
440,100,-0.4000000000000003
441,100,-0.4000000000000003
442,100,-0.4000000000000003
443,79,9.688
444,99,9.608
445,100,-0.4000000000000003
446,11,9.96
447,50,9.804
448,83,9.672
449,38,9.852
450,46,9.82
451,41,9.84
452,44,9.828
453,100,-0.4000000000000003
454,45,9.824
455,59,9.768
456,88,9.652
457,52,9.796
458,14,9.948
459,24,9.908
460,22,9.916
461,30,9.884
462,53,9.792
463,16,9.94
464,36,9.86
465,17,9.936
466,99,9.608
467,49,9.808
468,77,9.696
469,40,9.844
470,36,9.86
471,100,-0.4000000000000003
472,21,9.92
473,54,9.788
474,36,9.86
475,40,9.844
476,32,9.876
477,98,9.612
478,100,-0.4000000000000003
479,100,-0.4000000000000003
480,19,9.928
481,59,9.768
482,23,9.912
483,44,9.828
484,100,-0.4000000000000003
485,39,9.848
486,76,9.7
487,100,-0.4000000000000003
488,83,9.672
489,25,9.904
490,100,-0.4000000000000003
491,42,9.836
492,29,9.888
493,68,9.732
494,54,9.788
495,43,9.832
496,18,9.932
497,61,9.76
498,10,9.964
499,14,9.948
500,100,-0.4000000000000003
501,40,9.844
502,45,9.824
503,11,9.96
504,100,-0.4000000000000003
505,81,9.68
506,50,9.804
507,45,9.824
508,15,9.944
509,27,9.896
510,14,9.948
511,58,9.772
512,83,9.672
513,26,9.9
514,20,9.924
515,44,9.828
516,35,9.864
517,26,9.9
518,100,-0.4000000000000003
519,64,9.748
520,23,9.912
521,14,9.948
522,67,9.736
523,13,9.952
524,16,9.94
525,22,9.916
526,97,9.616
527,39,9.848
528,53,9.792
529,78,9.692
530,68,9.732
531,37,9.856
532,13,9.952
533,69,9.728
534,39,9.848
535,36,9.86
536,18,9.932
537,100,-0.4000000000000003
538,48,9.812
539,59,9.768
540,25,9.904
541,50,9.804
542,46,9.82
543,47,9.816
544,62,9.756
545,37,9.856
546,20,9.924
547,32,9.876
548,51,9.8
549,22,9.916
550,55,9.784
551,68,9.732
552,49,9.808
553,78,9.692
554,14,9.948
555,36,9.86
556,63,9.752
557,75,9.704
558,42,9.836
559,6,9.98
560,54,9.788
561,70,9.724
562,44,9.828
563,60,9.764
564,63,9.752
565,15,9.944
566,54,9.788
567,98,9.612
568,5,9.984
569,18,9.932
570,34,9.868
571,12,9.956
572,55,9.784
573,38,9.852
574,76,9.7
575,71,9.72
576,20,9.924
577,40,9.844
578,40,9.844
579,65,9.744
580,82,9.676
581,30,9.884
582,100,-0.4000000000000003
583,61,9.76
584,29,9.888
585,14,9.948
586,43,9.832
587,58,9.772
588,15,9.944
589,9,9.968
590,29,9.888
591,38,9.852
592,68,9.732
593,26,9.9
594,55,9.784
595,23,9.912
596,24,9.908
597,42,9.836
598,100,-0.4000000000000003
599,77,9.696
600,32,9.876
601,20,9.924
602,43,9.832
603,47,9.816
604,12,9.956
605,55,9.784
606,91,9.64
607,52,9.796
608,42,9.836
609,12,9.956
610,27,9.896
611,47,9.816
612,95,9.624
613,13,9.952
614,96,9.62
615,30,9.884
616,10,9.964
617,30,9.884
618,26,9.9
619,4,9.988
620,84,9.668
621,68,9.732
622,90,9.644
623,97,9.616
624,8,9.972
625,44,9.828
626,31,9.88
627,39,9.848
628,47,9.816
629,18,9.932
630,21,9.92
631,65,9.744
632,59,9.768
633,26,9.9
634,100,-0.4000000000000003
635,16,9.94
636,17,9.936
637,56,9.78
638,71,9.72
639,22,9.916
640,45,9.824
641,22,9.916
642,7,9.976
643,26,9.9
644,28,9.892
645,18,9.932
646,27,9.896
647,36,9.86
648,27,9.896
649,10,9.964
650,84,9.668
651,7,9.976
652,26,9.9
653,77,9.696
654,50,9.804
655,26,9.9
656,35,9.864
657,85,9.664
658,55,9.784
659,15,9.944
660,39,9.848
661,100,-0.4000000000000003
662,30,9.884
663,11,9.96
664,56,9.78
665,35,9.864
666,31,9.88
667,54,9.788
668,69,9.728
669,39,9.848
670,11,9.96
671,38,9.852
672,34,9.868
673,36,9.86
674,38,9.852
675,6,9.98
676,12,9.956
677,38,9.852
678,67,9.736
679,27,9.896
680,57,9.776
681,27,9.896
682,10,9.964
683,22,9.916
684,72,9.716
685,24,9.908
686,11,9.96
687,81,9.68
688,90,9.644
689,26,9.9
690,54,9.788
691,38,9.852
692,13,9.952
