episode,steps,rewards
1,100,-1.0000000000000007
2,81,9.2
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,73,9.28
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,73,9.28
35,100,-1.0000000000000007
36,80,9.209999999999999
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,59,9.42
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,100,-1.0000000000000007
44,100,-1.0000000000000007
45,89,9.12
46,100,-1.0000000000000007
47,39,9.62
48,75,9.26
49,100,-1.0000000000000007
50,72,9.29
51,100,-1.0000000000000007
52,91,9.1
53,38,9.629999999999999
54,100,-1.0000000000000007
55,84,9.17
56,46,9.549999999999999
57,100,-1.0000000000000007
58,51,9.5
59,48,9.53
60,63,9.379999999999999
61,100,-1.0000000000000007
62,41,9.6
63,100,-1.0000000000000007
64,100,-1.0000000000000007
65,45,9.56
66,39,9.62
67,66,9.35
68,71,9.299999999999999
69,71,9.299999999999999
70,76,9.25
71,70,9.309999999999999
72,34,9.67
73,26,9.75
74,30,9.709999999999999
75,31,9.7
76,39,9.62
77,50,9.51
78,59,9.42
79,73,9.28
80,32,9.69
81,24,9.77
82,34,9.67
83,32,9.69
84,42,9.59
85,20,9.81
86,16,9.85
87,34,9.67
88,18,9.83
89,52,9.49
90,87,9.139999999999999
91,40,9.61
92,28,9.73
93,30,9.709999999999999
94,84,9.17
95,76,9.25
96,20,9.81
97,34,9.67
98,22,9.79
99,24,9.77
100,20,9.81
101,41,9.6
102,14,9.87
103,24,9.77
104,22,9.79
105,33,9.68
106,18,9.83
107,48,9.53
108,28,9.73
109,28,9.73
110,14,9.87
111,30,9.709999999999999
112,38,9.629999999999999
113,32,9.69
114,16,9.85
115,30,9.709999999999999
116,30,9.709999999999999
117,30,9.709999999999999
118,30,9.709999999999999
119,26,9.75
120,18,9.83
121,16,9.85
122,18,9.83
123,16,9.85
124,18,9.83
125,16,9.85
126,20,9.81
127,22,9.79
128,26,9.75
129,14,9.87
130,20,9.81
131,24,9.77
132,32,9.69
133,14,9.87
134,24,9.77
135,18,9.83
136,24,9.77
137,18,9.83
138,18,9.83
139,28,9.73
140,16,9.85
141,20,9.81
142,14,9.87
143,27,9.74
144,16,9.85
145,20,9.81
146,24,9.77
147,22,9.79
148,18,9.83
149,16,9.85
150,28,9.73
151,20,9.81
152,20,9.81
153,24,9.77
154,22,9.79
155,14,9.87
156,14,9.87
157,20,9.81
158,18,9.83
159,22,9.79
160,16,9.85
161,16,9.85
162,16,9.85
163,18,9.83
164,20,9.81
165,16,9.85
166,20,9.81
167,24,9.77
168,16,9.85
169,14,9.87
170,14,9.87
171,20,9.81
172,16,9.85
173,22,9.79
174,14,9.87
175,42,9.59
176,14,9.87
177,16,9.85
178,14,9.87
179,18,9.83
180,22,9.79
181,18,9.83
182,22,9.79
183,18,9.83
184,20,9.81
185,20,9.81
186,20,9.81
187,14,9.87
188,14,9.87
189,22,9.79
190,14,9.87
191,18,9.83
192,16,9.85
193,14,9.87
194,14,9.87
195,24,9.77
196,14,9.87
197,14,9.87
198,18,9.83
199,24,9.77
200,14,9.87
201,16,9.85
202,16,9.85
203,16,9.85
204,14,9.87
205,20,9.81
206,26,9.75
207,14,9.87
208,14,9.87
209,18,9.83
210,16,9.85
211,18,9.83
212,16,9.85
213,16,9.85
214,16,9.85
215,18,9.83
216,16,9.85
217,14,9.87
218,16,9.85
219,14,9.87
220,20,9.81
221,20,9.81
222,14,9.87
223,18,9.83
224,16,9.85
225,16,9.85
226,24,9.77
227,14,9.87
228,20,9.81
229,16,9.85
