episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,58,9.43
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,98,9.03
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,99,9.02
44,88,9.129999999999999
45,100,-1.0000000000000007
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,67,9.34
51,100,-1.0000000000000007
52,100,-1.0000000000000007
53,63,9.379999999999999
54,100,-1.0000000000000007
55,100,-1.0000000000000007
56,100,-1.0000000000000007
57,70,9.309999999999999
58,100,-1.0000000000000007
59,38,9.629999999999999
60,100,-1.0000000000000007
61,100,-1.0000000000000007
62,100,-1.0000000000000007
63,57,9.44
64,21,9.8
65,58,9.43
66,50,9.51
67,42,9.59
68,73,9.28
69,48,9.53
70,34,9.67
71,39,9.62
72,60,9.41
73,100,-1.0000000000000007
74,56,9.45
75,56,9.45
76,54,9.469999999999999
77,100,-1.0000000000000007
78,42,9.59
79,50,9.51
80,18,9.83
81,76,9.25
82,40,9.61
83,32,9.69
84,55,9.459999999999999
85,26,9.75
86,30,9.709999999999999
87,36,9.65
88,22,9.79
89,28,9.73
90,26,9.75
91,69,9.32
92,48,9.53
93,22,9.79
94,38,9.629999999999999
95,30,9.709999999999999
96,33,9.68
97,46,9.549999999999999
98,52,9.49
99,24,9.77
100,30,9.709999999999999
101,33,9.68
102,24,9.77
103,18,9.83
104,30,9.709999999999999
105,20,9.81
106,30,9.709999999999999
107,20,9.81
108,37,9.64
109,24,9.77
110,35,9.66
111,32,9.69
112,64,9.37
113,26,9.75
114,43,9.58
115,31,9.7
116,59,9.42
117,34,9.67
118,24,9.77
119,28,9.73
120,26,9.75
121,34,9.67
122,26,9.75
123,28,9.73
124,32,9.69
125,31,9.7
126,24,9.77
127,34,9.67
128,28,9.73
129,22,9.79
130,34,9.67
131,20,9.81
132,24,9.77
133,16,9.85
134,21,9.8
135,30,9.709999999999999
136,22,9.79
137,23,9.78
138,26,9.75
139,28,9.73
140,33,9.68
141,18,9.83
142,18,9.83
143,22,9.79
144,24,9.77
145,26,9.75
146,28,9.73
147,26,9.75
148,26,9.75
149,26,9.75
150,41,9.6
151,20,9.81
152,26,9.75
153,22,9.79
154,22,9.79
155,22,9.79
156,30,9.709999999999999
157,22,9.79
158,22,9.79
159,20,9.81
160,22,9.79
161,24,9.77
162,19,9.82
163,26,9.75
164,20,9.81
165,25,9.76
166,23,9.78
167,26,9.75
168,18,9.83
169,26,9.75
170,18,9.83
171,17,9.84
172,16,9.85
173,24,9.77
174,20,9.81
175,21,9.8
176,28,9.73
177,26,9.75
178,24,9.77
179,16,9.85
180,24,9.77
181,16,9.85
182,20,9.81
183,18,9.83
184,18,9.83
185,27,9.74
186,18,9.83
187,16,9.85
188,16,9.85
189,18,9.83
190,18,9.83
191,18,9.83
192,20,9.81
193,16,9.85
194,18,9.83
195,16,9.85
196,22,9.79
197,18,9.83
198,18,9.83
199,22,9.79
200,24,9.77
