episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,73,9.28
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,84,9.17
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,89,9.12
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,88,9.129999999999999
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,79,9.219999999999999
44,100,-1.0000000000000007
45,34,9.67
46,100,-1.0000000000000007
47,71,9.299999999999999
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,55,9.459999999999999
51,100,-1.0000000000000007
52,64,9.37
53,100,-1.0000000000000007
54,100,-1.0000000000000007
55,91,9.1
56,49,9.52
57,84,9.17
58,36,9.65
59,84,9.17
60,75,9.26
61,42,9.59
62,42,9.59
63,22,9.79
64,100,-1.0000000000000007
65,68,9.33
66,95,9.059999999999999
67,51,9.5
68,34,9.67
69,61,9.4
70,69,9.32
71,78,9.23
72,50,9.51
73,42,9.59
74,95,9.059999999999999
75,100,-1.0000000000000007
76,44,9.57
77,16,9.85
78,32,9.69
79,30,9.709999999999999
80,49,9.52
81,27,9.74
82,59,9.42
83,32,9.69
84,46,9.549999999999999
85,24,9.77
86,34,9.67
87,67,9.34
88,42,9.59
89,40,9.61
90,24,9.77
91,24,9.77
92,63,9.379999999999999
93,22,9.79
94,18,9.83
95,40,9.61
96,24,9.77
97,22,9.79
98,26,9.75
99,20,9.81
100,20,9.81
101,28,9.73
102,30,9.709999999999999
103,24,9.77
104,44,9.57
105,21,9.8
106,20,9.81
107,46,9.549999999999999
108,26,9.75
109,23,9.78
110,23,9.78
111,20,9.81
112,34,9.67
113,18,9.83
114,20,9.81
115,16,9.85
116,20,9.81
117,26,9.75
118,16,9.85
119,24,9.77
120,24,9.77
121,30,9.709999999999999
122,20,9.81
123,22,9.79
124,20,9.81
125,18,9.83
126,16,9.85
127,16,9.85
128,24,9.77
129,22,9.79
130,26,9.75
131,22,9.79
132,18,9.83
133,30,9.709999999999999
134,16,9.85
135,18,9.83
136,20,9.81
137,20,9.81
138,16,9.85
139,28,9.73
140,16,9.85
141,20,9.81
142,20,9.81
143,22,9.79
144,28,9.73
145,22,9.79
146,22,9.79
147,20,9.81
148,16,9.85
149,22,9.79
150,14,9.87
151,22,9.79
152,20,9.81
153,30,9.709999999999999
154,14,9.87
155,14,9.87
156,16,9.85
157,20,9.81
158,38,9.629999999999999
159,22,9.79
160,20,9.81
161,21,9.8
162,16,9.85
163,20,9.81
164,18,9.83
165,16,9.85
166,14,9.87
167,18,9.83
168,16,9.85
169,14,9.87
170,18,9.83
171,14,9.87
172,20,9.81
173,18,9.83
174,16,9.85
175,22,9.79
176,42,9.59
177,14,9.87
178,14,9.87
179,24,9.77
180,14,9.87
181,14,9.87
182,16,9.85
183,22,9.79
184,16,9.85
185,24,9.77
186,14,9.87
187,16,9.85
188,14,9.87
189,14,9.87
190,16,9.85
191,20,9.81
192,26,9.75
193,20,9.81
194,18,9.83
195,14,9.87
196,18,9.83
197,16,9.85
198,14,9.87
199,18,9.83
200,18,9.83
201,16,9.85
202,22,9.79
203,24,9.77
204,14,9.87
205,26,9.75
206,14,9.87
207,14,9.87
