episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,58,9.43
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,62,9.39
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,100,-1.0000000000000007
44,100,-1.0000000000000007
45,36,9.65
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,77,9.24
50,62,9.39
51,70,9.309999999999999
52,51,9.5
53,36,9.65
54,85,9.16
55,100,-1.0000000000000007
56,20,9.81
57,82,9.19
58,100,-1.0000000000000007
59,35,9.66
60,100,-1.0000000000000007
61,34,9.67
62,100,-1.0000000000000007
63,45,9.56
64,100,-1.0000000000000007
65,82,9.19
66,38,9.629999999999999
67,62,9.39
68,81,9.2
69,92,9.09
70,72,9.29
71,44,9.57
72,91,9.1
73,76,9.25
74,24,9.77
75,100,-1.0000000000000007
76,40,9.61
77,22,9.79
78,25,9.76
79,72,9.29
80,60,9.41
81,54,9.469999999999999
82,63,9.379999999999999
83,93,9.08
84,49,9.52
85,73,9.28
86,21,9.8
87,41,9.6
88,49,9.52
89,38,9.629999999999999
90,74,9.27
91,46,9.549999999999999
92,100,-1.0000000000000007
93,22,9.79
94,64,9.37
95,34,9.67
96,37,9.64
97,33,9.68
98,64,9.37
99,38,9.629999999999999
100,26,9.75
101,30,9.709999999999999
102,33,9.68
103,27,9.74
104,21,9.8
105,28,9.73
106,33,9.68
107,20,9.81
108,31,9.7
109,33,9.68
110,33,9.68
111,19,9.82
112,19,9.82
113,43,9.58
114,24,9.77
115,18,9.83
116,17,9.84
117,25,9.76
118,33,9.68
119,19,9.82
120,31,9.7
121,38,9.629999999999999
122,31,9.7
123,25,9.76
124,23,9.78
125,23,9.78
126,24,9.77
127,27,9.74
128,52,9.49
129,29,9.72
130,23,9.78
131,17,9.84
132,19,9.82
133,19,9.82
134,30,9.709999999999999
135,30,9.709999999999999
136,35,9.66
137,31,9.7
138,25,9.76
139,30,9.709999999999999
140,17,9.84
141,37,9.64
142,19,9.82
143,17,9.84
144,29,9.72
145,23,9.78
146,30,9.709999999999999
147,27,9.74
148,19,9.82
149,27,9.74
150,19,9.82
151,30,9.709999999999999
152,24,9.77
153,19,9.82
154,19,9.82
155,43,9.58
156,17,9.84
157,29,9.72
158,26,9.75
159,19,9.82
160,27,9.74
161,20,9.81
162,27,9.74
163,21,9.8
164,19,9.82
165,19,9.82
166,23,9.78
167,25,9.76
168,19,9.82
169,26,9.75
170,17,9.84
171,22,9.79
172,19,9.82
173,23,9.78
174,16,9.85
175,18,9.83
176,22,9.79
177,20,9.81
178,21,9.8
179,27,9.74
180,26,9.75
181,18,9.83
182,22,9.79
183,17,9.84
184,20,9.81
185,16,9.85
186,20,9.81
187,22,9.79
188,19,9.82
189,22,9.79
190,30,9.709999999999999
191,15,9.86
192,15,9.86
193,21,9.8
194,16,9.85
195,15,9.86
196,17,9.84
197,15,9.86
198,17,9.84
199,20,9.81
200,15,9.86
201,17,9.84
202,15,9.86
203,21,9.8
