episode,steps,rewards
1,100,-0.6000000000000004
2,100,-0.6000000000000004
3,100,-0.6000000000000004
4,100,-0.6000000000000004
5,53,9.688
6,100,-0.6000000000000004
7,100,-0.6000000000000004
8,70,9.586
9,100,-0.6000000000000004
10,100,-0.6000000000000004
11,100,-0.6000000000000004
12,100,-0.6000000000000004
13,100,-0.6000000000000004
14,100,-0.6000000000000004
15,100,-0.6000000000000004
16,100,-0.6000000000000004
17,100,-0.6000000000000004
18,94,9.442
19,100,-0.6000000000000004
20,100,-0.6000000000000004
21,100,-0.6000000000000004
22,100,-0.6000000000000004
23,100,-0.6000000000000004
24,100,-0.6000000000000004
25,100,-0.6000000000000004
26,100,-0.6000000000000004
27,100,-0.6000000000000004
28,100,-0.6000000000000004
29,100,-0.6000000000000004
30,100,-0.6000000000000004
31,100,-0.6000000000000004
32,100,-0.6000000000000004
33,100,-0.6000000000000004
34,100,-0.6000000000000004
35,100,-0.6000000000000004
36,100,-0.6000000000000004
37,100,-0.6000000000000004
38,100,-0.6000000000000004
39,100,-0.6000000000000004
40,89,9.472
41,83,9.508
42,100,-0.6000000000000004
43,82,9.514
44,100,-0.6000000000000004
45,100,-0.6000000000000004
46,100,-0.6000000000000004
47,100,-0.6000000000000004
48,100,-0.6000000000000004
49,100,-0.6000000000000004
50,44,9.741999999999999
51,100,-0.6000000000000004
52,100,9.405999999999999
53,100,-0.6000000000000004
54,95,9.436
55,47,9.724
56,100,-0.6000000000000004
57,100,-0.6000000000000004
58,70,9.586
59,61,9.64
60,71,9.58
61,25,9.856
62,93,9.448
63,54,9.682
64,72,9.574
65,51,9.7
66,23,9.868
67,69,9.592
68,39,9.772
69,43,9.748
70,100,-0.6000000000000004
71,84,9.501999999999999
72,91,9.459999999999999
73,30,9.826
74,36,9.79
75,91,9.459999999999999
76,75,9.556
77,43,9.748
78,69,9.592
79,37,9.784
80,21,9.88
81,16,9.91
82,40,9.766
83,51,9.7
84,25,9.856
85,50,9.706
86,62,9.634
87,20,9.886
88,28,9.838
89,19,9.892
90,39,9.772
91,49,9.712
92,42,9.754
93,44,9.741999999999999
94,22,9.874
95,51,9.7
96,54,9.682
97,37,9.784
98,27,9.844
99,16,9.91
100,28,9.838
101,22,9.874
102,23,9.868
103,25,9.856
104,28,9.838
105,24,9.862
106,24,9.862
107,38,9.778
108,16,9.91
109,37,9.784
110,32,9.814
111,34,9.802
112,18,9.898
113,17,9.904
114,18,9.898
115,16,9.91
116,22,9.874
117,28,9.838
118,25,9.856
119,20,9.886
120,26,9.85
121,22,9.874
122,32,9.814
123,18,9.898
124,20,9.886
125,18,9.898
126,22,9.874
127,18,9.898
128,16,9.91
129,24,9.862
130,20,9.886
131,25,9.856
132,36,9.79
133,22,9.874
134,16,9.91
135,16,9.91
136,20,9.886
137,22,9.874
138,26,9.85
139,20,9.886
140,26,9.85
