episode,steps,rewards,loss
1,100,-1.0000000000000007,0.03159487528726459
2,100,-1.0000000000000007,0.01687866016291082
3,100,-1.0000000000000007,0.015970976306125522
4,100,-1.0000000000000007,0.022841440946795046
5,27,9.75,0.023449892730072693
6,100,-1.0000000000000007,0.286401872234419
7,86,9.16,0.16036409899852302
8,94,9.08,0.28594895122830377
9,65,9.37,0.3128531112550543
10,100,-1.0000000000000007,0.2593946357537061
11,100,-1.0000000000000007,0.2717386854719371
12,57,9.45,0.29200157727392617
13,93,9.09,0.32351746041608115
14,29,9.73,0.2033635468447003
15,100,-1.0000000000000007,0.2936287755612284
16,100,-1.0000000000000007,0.2813892592024058
17,78,9.24,0.21249060707692152
18,100,9.02,0.2553335660463199
19,100,-1.0000000000000007,0.1878404337912798
20,100,9.02,0.1659079648833722
21,100,-1.0000000000000007,0.3388553561642766
22,78,9.24,0.21472256239026022
23,100,-1.0000000000000007,0.16524968123994768
24,100,-1.0000000000000007,0.13927428079769016
25,101,9.01,0.1690163933810326
26,63,9.39,0.14931700690575536
27,64,9.379999999999999,0.15630834225157741
28,100,-1.0000000000000007,0.1119386178161949
29,100,-1.0000000000000007,0.13708489812444896
30,66,9.36,0.10452612006867473
31,100,-1.0000000000000007,0.20734235171228646
32,60,9.42,0.19433283515584965
33,25,9.77,0.24603087946772575
34,55,9.469999999999999,0.2698225629261949
35,67,9.35,0.1460701107367206
36,30,9.72,0.0992551399084429
37,35,9.67,0.07574762747223888
38,55,9.469999999999999,0.28146775818683883
39,55,9.469999999999999,0.11271626271984794
40,43,9.59,0.13893324933772863
41,43,9.59,0.29009474424082177
42,85,9.17,0.234932360403678
43,47,9.549999999999999,0.29525922781768
44,43,9.59,0.21819169316873993
45,43,9.59,0.23680220934194188
46,41,9.61,0.2987053345252828
47,60,9.42,0.13651193265492717
48,35,9.67,0.2738528916346175
49,37,9.65,0.16326341058152752
50,29,9.73,0.1868451765642084
51,36,9.66,0.36568852110455435
52,19,9.83,0.1478122817842584
53,30,9.72,0.2176515471190214
54,31,9.709999999999999,0.2555228289096586
55,32,9.7,0.2447668220847845
56,17,9.85,0.17790313547148423
57,25,9.77,0.32973300814628603
58,26,9.76,0.2970225445639629
59,21,9.81,0.16753414388568627
60,29,9.73,0.2292513334160221
61,29,9.73,0.3586702584449587
62,31,9.709999999999999,0.32484846478027685
63,34,9.68,0.34492356724598827
64,30,9.72,0.2909309335052967
65,32,9.7,0.4128388409735635
66,37,9.65,0.2302138249616365
67,100,-1.0000000000000007,0.38410826368257406
68,100,-1.0000000000000007,0.21110060568898917
69,100,-1.0000000000000007,0.24624190837144852
70,64,9.379999999999999,0.21860313866636716
71,27,9.75,0.2365665355766261
72,100,-1.0000000000000007,0.24347991324961185
73,100,-1.0000000000000007,0.2961291228979826
74,34,9.68,0.2339967637158492
75,30,9.72,0.24154867380857467
76,100,-1.0000000000000007,0.27146620698273183
77,100,-1.0000000000000007,0.21151059478521347
78,100,-1.0000000000000007,0.21633130258880556
79,100,-1.0000000000000007,0.15529960453975947
80,100,-1.0000000000000007,0.18909820821136236
81,100,-1.0000000000000007,0.17124989695847034
82,38,9.64,0.18476440630068905
83,71,9.309999999999999,0.09264904662022289
84,100,-1.0000000000000007,0.19476409803144634
85,20,9.82,0.19326746175065637
86,100,-1.0000000000000007,0.1763434094749391
87,22,9.8,0.08964238730682568
88,34,9.68,0.18995700754663525
89,100,-1.0000000000000007,0.15082704234868288
90,18,9.84,0.10896913376119402
91,35,9.67,0.15889066862208504
92,18,9.84,0.18494663118488258
93,17,9.85,0.08515817299485207
94,19,9.83,0.0947146891175132
95,16,9.86,0.09006014838814735
96,28,9.74,0.17301304575188883
97,18,9.84,0.06241631673441993
98,22,9.8,0.11819556617940014
99,18,9.84,0.1074547345439593
100,19,9.83,0.07632873937683671
101,16,9.86,0.17089943028986454
102,27,9.75,0.19423662084672186
103,19,9.83,0.13111366341380695
104,17,9.85,0.06884878063026596
105,24,9.78,0.09388247054691116
106,18,9.84,0.13084584267603028
107,41,9.61,0.133870391311442
108,18,9.84,0.1487775467750099
109,19,9.83,0.07326690254634932
110,33,9.69,0.0854497638559251
111,25,9.77,0.19679858714342116
112,18,9.84,0.19686303536097208
113,20,9.82,0.14736188147217036
114,26,9.76,0.1466723055793689
115,17,9.85,0.2260268426993314
116,29,9.73,0.21988655344165606
117,23,9.79,0.18846220944238745
118,17,9.85,0.13314036411397598
119,20,9.82,0.1292493872344494
120,19,9.83,0.13626923284640438
121,21,9.81,0.2505274603054637
122,20,9.82,0.17327778395265342
123,17,9.85,0.14837820543085828
124,25,9.77,0.14113432601094245
125,23,9.79,0.16724031961158567
126,33,9.69,0.18604020300236615
127,17,9.85,0.09963616641128764
128,17,9.85,0.11104762017288629
129,17,9.85,0.09469453004353187
130,19,9.83,0.1069179478738653
131,22,9.8,0.172759298235178
132,19,9.83,0.1130933447888023
133,18,9.84,0.1570689059380028
134,74,9.28,0.11001445010707185
135,16,9.86,0.07274875848088413
136,17,9.85,0.12989399341099403
137,19,9.83,0.07298151582577511
138,18,9.84,0.10254321278383334
139,18,9.84,0.1005692199493448
140,17,9.85,0.08273443075663903
141,19,9.83,0.16322916863780274
142,16,9.86,0.0674996682209894
143,16,9.86,0.06659191939979792
144,21,9.81,0.08862583481130146
145,16,9.86,0.11661581043154001
146,16,9.86,0.06365647469647229
147,16,9.86,0.043646120582707226
148,18,9.84,0.09498463571071625
149,17,9.85,0.05024507860927021
150,16,9.86,0.04487636883277446
151,22,9.8,0.06837902302769097
152,20,9.82,0.08852343000471592
153,15,9.87,0.043656860912839573
154,16,9.86,0.06254070391878486
155,18,9.84,0.06186963845458296
156,16,9.86,0.0661903343279846
157,17,9.85,0.04877293805646546
158,16,9.86,0.041420661902520806
159,18,9.84,0.042399743675357766
160,16,9.86,0.02964924430125393
161,16,9.86,0.06471992272417992
162,15,9.87,0.05612043992926677
163,16,9.86,0.05849467928055674
164,16,9.86,0.0349298624205403
165,16,9.86,0.08464619878213853
166,16,9.86,0.04021303774788976
167,17,9.85,0.08563823176219183
168,16,9.86,0.047149382007773966
169,17,9.85,0.05012127373586683
170,16,9.86,0.049856884870678186
171,16,9.86,0.04525627428665757
172,16,9.86,0.05203391902614385
173,16,9.86,0.033589526487048715
174,16,9.86,0.03111852437723428
175,18,9.84,0.04023332743802004
176,16,9.86,0.01780479005537927
177,18,9.84,0.029446475233675704
178,16,9.86,0.07167972542811185
179,18,9.84,0.06022248955236541
180,19,9.83,0.027755494964750188
181,15,9.87,0.04411742618928353
182,18,9.84,0.03430219041183591
183,17,9.85,0.02039970671210219
184,16,9.86,0.025431769841816276
185,16,9.86,0.025320111846667714
186,18,9.84,0.020592361843834322
187,16,9.86,0.020944695570506155
188,16,9.86,0.0179162849963177
189,18,9.84,0.01895465528488987
190,16,9.86,0.013844053959473968
191,16,9.86,0.05087179085239768
192,17,9.85,0.015184336917146164
193,16,9.86,0.024333285342436284
194,16,9.86,0.036751952284248546
195,18,9.84,0.07580027568878399
196,17,9.85,0.02446723488323829
197,16,9.86,0.01603098219493404
198,15,9.87,0.009090110162893931
199,17,9.85,0.02234998991822495
200,17,9.85,0.026387275306179243
201,15,9.87,0.03580647446215153
202,17,9.85,0.02160564886734766
203,15,9.87,0.0165927989097933
204,15,9.87,0.019922715953240792
205,17,9.85,0.018463564461425823
206,17,9.85,0.013887806877712993
207,15,9.87,0.025117546195785205
208,15,9.87,0.025214703505237898
209,16,9.86,0.014627371419919655
210,16,9.86,0.034728265076410025
211,15,9.87,0.0257550910115242
212,17,9.85,0.017417175352902096
213,15,9.87,0.027408040035516022
214,15,9.87,0.020391162733236948
215,15,9.87,0.0176010022405535
216,17,9.85,0.021649280015160057
217,15,9.87,0.015068525603661934
218,17,9.85,0.019489393610616818
219,18,9.84,0.01874916549099402
220,23,9.79,0.013527241333023361
221,15,9.87,0.015499507263302802
222,15,9.87,0.03025803517860671
223,15,9.87,0.01134868919228514
224,15,9.87,0.01279873635309438
225,15,9.87,0.013748468412086368
226,15,9.87,0.02378176146497329
227,17,9.85,0.016429895315976703
228,15,9.87,0.01208412271613876
229,17,9.85,0.030799698961131713
230,17,9.85,0.027576156070127207
231,15,9.87,0.01108022378757596
232,15,9.87,0.018177678622305394
233,17,9.85,0.0159156306865899
234,16,9.86,0.018709090683842078
235,15,9.87,0.021589228821297487
236,16,9.86,0.006999086501309648
237,15,9.87,0.012378913008918364
238,18,9.84,0.042649968061596155
239,17,9.85,0.010533443268607645
240,17,9.85,0.010489703690194908
241,17,9.85,0.01480918489944409
242,15,9.87,0.005556403597195943
243,15,9.87,0.013974011254807314
244,15,9.87,0.007634925671542684
245,15,9.87,0.007939103556176027
246,15,9.87,0.011188387669002016
247,17,9.85,0.00925521390950855
