episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,70,9.309999999999999
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,31,9.7
16,100,-1.0000000000000007
17,77,9.24
18,100,-1.0000000000000007
19,82,9.19
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,48,9.53
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,25,9.76
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,74,9.27
31,100,-1.0000000000000007
32,23,9.78
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,27,9.74
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,86,9.149999999999999
43,100,-1.0000000000000007
44,100,-1.0000000000000007
45,100,-1.0000000000000007
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,100,-1.0000000000000007
51,100,-1.0000000000000007
52,100,-1.0000000000000007
53,100,-1.0000000000000007
54,80,9.209999999999999
55,100,-1.0000000000000007
56,100,-1.0000000000000007
57,100,-1.0000000000000007
58,100,-1.0000000000000007
59,100,-1.0000000000000007
60,100,-1.0000000000000007
61,100,-1.0000000000000007
62,100,-1.0000000000000007
63,100,-1.0000000000000007
64,100,9.01
65,100,-1.0000000000000007
66,100,-1.0000000000000007
67,100,-1.0000000000000007
68,100,-1.0000000000000007
69,100,-1.0000000000000007
70,100,-1.0000000000000007
71,100,-1.0000000000000007
72,96,9.049999999999999
73,100,-1.0000000000000007
74,100,-1.0000000000000007
75,23,9.78
76,100,-1.0000000000000007
77,26,9.75
78,100,-1.0000000000000007
79,29,9.72
80,100,-1.0000000000000007
81,100,-1.0000000000000007
82,100,-1.0000000000000007
83,100,-1.0000000000000007
84,100,-1.0000000000000007
85,79,9.219999999999999
86,100,-1.0000000000000007
87,100,-1.0000000000000007
88,25,9.76
89,37,9.64
90,22,9.79
91,100,-1.0000000000000007
92,62,9.39
93,53,9.48
94,100,-1.0000000000000007
95,23,9.78
96,100,-1.0000000000000007
97,54,9.469999999999999
98,51,9.5
99,100,-1.0000000000000007
100,26,9.75
101,100,-1.0000000000000007
102,66,9.35
103,7,9.94
104,100,-1.0000000000000007
105,28,9.73
106,100,-1.0000000000000007
107,100,-1.0000000000000007
108,100,-1.0000000000000007
109,100,-1.0000000000000007
110,60,9.41
111,12,9.89
112,69,9.32
113,100,-1.0000000000000007
114,77,9.24
115,72,9.29
116,7,9.94
117,78,9.23
118,100,-1.0000000000000007
119,2,9.99
120,100,-1.0000000000000007
121,45,9.56
122,88,9.129999999999999
123,100,-1.0000000000000007
124,74,9.27
125,48,9.53
126,100,-1.0000000000000007
127,33,9.68
128,23,9.78
129,100,-1.0000000000000007
130,46,9.549999999999999
131,19,9.82
132,49,9.52
133,74,9.27
134,3,9.98
135,12,9.89
136,31,9.7
137,67,9.34
138,36,9.65
139,14,9.87
140,4,9.97
141,100,-1.0000000000000007
142,20,9.81
143,20,9.81
144,31,9.7
145,28,9.73
146,100,-1.0000000000000007
147,21,9.8
148,12,9.89
149,40,9.61
150,36,9.65
151,100,-1.0000000000000007
152,50,9.51
153,6,9.95
154,11,9.9
155,30,9.709999999999999
156,100,-1.0000000000000007
157,40,9.61
158,21,9.8
159,43,9.58
160,25,9.76
161,23,9.78
162,52,9.49
163,19,9.82
164,24,9.77
165,15,9.86
166,8,9.93
167,44,9.57
168,75,9.26
169,9,9.92
170,14,9.87
171,19,9.82
172,32,9.69
173,9,9.92
174,20,9.81
175,34,9.67
176,26,9.75
177,11,9.9
