episode,steps,rewards
1,63,9.379999999999999
2,100,-1.0000000000000007
3,49,9.52
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,59,9.42
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,15,9.86
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,98,9.03
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,34,9.67
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,99,9.02
43,92,9.09
44,11,9.9
45,100,-1.0000000000000007
46,86,9.149999999999999
47,24,9.77
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,100,-1.0000000000000007
51,100,-1.0000000000000007
52,100,-1.0000000000000007
53,100,-1.0000000000000007
54,100,-1.0000000000000007
55,42,9.59
56,54,9.469999999999999
57,30,9.709999999999999
58,100,-1.0000000000000007
59,100,-1.0000000000000007
60,100,-1.0000000000000007
61,100,-1.0000000000000007
62,100,-1.0000000000000007
63,24,9.77
64,100,-1.0000000000000007
65,100,-1.0000000000000007
66,100,-1.0000000000000007
67,100,-1.0000000000000007
68,100,-1.0000000000000007
69,57,9.44
70,100,-1.0000000000000007
71,100,-1.0000000000000007
72,81,9.2
73,100,9.01
74,100,-1.0000000000000007
75,58,9.43
76,53,9.48
77,19,9.82
78,100,-1.0000000000000007
79,22,9.79
80,100,-1.0000000000000007
81,82,9.19
82,50,9.51
83,100,-1.0000000000000007
84,14,9.87
85,46,9.549999999999999
86,100,-1.0000000000000007
87,27,9.74
88,100,-1.0000000000000007
89,21,9.8
90,100,-1.0000000000000007
91,45,9.56
92,100,-1.0000000000000007
93,100,-1.0000000000000007
94,100,-1.0000000000000007
95,35,9.66
96,85,9.16
97,24,9.77
98,23,9.78
99,54,9.469999999999999
100,100,-1.0000000000000007
101,100,-1.0000000000000007
102,30,9.709999999999999
103,15,9.86
104,12,9.89
105,43,9.58
106,100,-1.0000000000000007
107,100,-1.0000000000000007
108,85,9.16
109,100,-1.0000000000000007
110,16,9.85
111,14,9.87
112,100,-1.0000000000000007
113,22,9.79
114,22,9.79
115,100,-1.0000000000000007
116,7,9.94
117,50,9.51
118,14,9.87
119,100,-1.0000000000000007
120,28,9.73
121,58,9.43
122,45,9.56
123,36,9.65
124,38,9.629999999999999
125,37,9.64
126,100,-1.0000000000000007
127,29,9.72
128,50,9.51
129,9,9.92
130,100,-1.0000000000000007
131,14,9.87
132,14,9.87
133,42,9.59
134,8,9.93
135,37,9.64
136,3,9.98
137,2,9.99
138,9,9.92
139,7,9.94
140,8,9.93
141,23,9.78
142,10,9.91
143,100,-1.0000000000000007
144,100,-1.0000000000000007
145,8,9.93
146,76,9.25
147,15,9.86
148,100,-1.0000000000000007
149,18,9.83
150,55,9.459999999999999
151,100,-1.0000000000000007
152,22,9.79
153,5,9.96
154,25,9.76
155,100,-1.0000000000000007
156,5,9.96
157,31,9.7
158,100,-1.0000000000000007
159,100,-1.0000000000000007
160,84,9.17
161,92,9.09
162,100,-1.0000000000000007
163,5,9.96
164,95,9.059999999999999
165,41,9.6
166,11,9.9
167,54,9.469999999999999
168,100,-1.0000000000000007
169,20,9.81
170,44,9.57
171,63,9.379999999999999
172,12,9.89
