episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,76,9.25
28,18,9.83
29,19,9.82
30,96,9.049999999999999
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,79,9.219999999999999
43,64,9.37
44,100,-1.0000000000000007
45,100,-1.0000000000000007
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,100,-1.0000000000000007
51,100,-1.0000000000000007
52,100,-1.0000000000000007
53,100,-1.0000000000000007
54,100,-1.0000000000000007
55,100,-1.0000000000000007
56,100,-1.0000000000000007
57,100,-1.0000000000000007
58,100,-1.0000000000000007
59,97,9.04
60,66,9.35
61,16,9.85
62,100,-1.0000000000000007
63,83,9.18
64,35,9.66
65,6,9.95
66,30,9.709999999999999
67,100,-1.0000000000000007
68,90,9.11
69,100,-1.0000000000000007
70,100,-1.0000000000000007
71,100,-1.0000000000000007
72,100,-1.0000000000000007
73,37,9.64
74,100,-1.0000000000000007
75,100,-1.0000000000000007
76,100,-1.0000000000000007
77,100,-1.0000000000000007
78,100,-1.0000000000000007
79,100,-1.0000000000000007
80,69,9.32
81,45,9.56
82,70,9.309999999999999
83,100,-1.0000000000000007
84,100,-1.0000000000000007
85,3,9.98
86,100,-1.0000000000000007
87,100,-1.0000000000000007
88,100,-1.0000000000000007
89,77,9.24
90,100,-1.0000000000000007
91,100,-1.0000000000000007
92,19,9.82
93,26,9.75
94,28,9.73
95,100,-1.0000000000000007
96,100,-1.0000000000000007
97,39,9.62
98,43,9.58
99,31,9.7
100,100,-1.0000000000000007
101,8,9.93
102,100,-1.0000000000000007
103,5,9.96
104,100,-1.0000000000000007
105,100,-1.0000000000000007
106,100,-1.0000000000000007
107,32,9.69
108,100,-1.0000000000000007
109,100,-1.0000000000000007
110,26,9.75
111,100,-1.0000000000000007
112,80,9.209999999999999
113,100,-1.0000000000000007
114,36,9.65
115,100,-1.0000000000000007
116,96,9.049999999999999
117,100,-1.0000000000000007
118,25,9.76
119,13,9.88
120,53,9.48
121,7,9.94
122,21,9.8
123,100,-1.0000000000000007
124,68,9.33
125,100,-1.0000000000000007
126,73,9.28
127,23,9.78
128,62,9.39
129,27,9.74
130,100,-1.0000000000000007
131,63,9.379999999999999
132,9,9.92
133,42,9.59
134,6,9.95
135,76,9.25
136,39,9.62
137,100,-1.0000000000000007
138,62,9.39
139,89,9.12
140,100,-1.0000000000000007
141,100,-1.0000000000000007
142,100,-1.0000000000000007
143,68,9.33
144,37,9.64
145,87,9.139999999999999
146,100,-1.0000000000000007
147,9,9.92
148,39,9.62
149,45,9.56
150,58,9.43
151,8,9.93
152,4,9.97
153,24,9.77
154,48,9.53
155,61,9.4
156,6,9.95
157,21,9.8
158,9,9.92
159,42,9.59
160,100,-1.0000000000000007
161,36,9.65
162,12,9.89
163,100,-1.0000000000000007
164,100,-1.0000000000000007
165,85,9.16
166,15,9.86
167,5,9.96
168,18,9.83
169,45,9.56
170,96,9.049999999999999
171,9,9.92
172,58,9.43
173,100,-1.0000000000000007
