episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,25,0.7599999999999999
19,17,0.84
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,55,0.45999999999999974
26,18,0.83
27,96,0.04999999999999938
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,0.009999999999999343
33,44,0.5699999999999998
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,66,0.34999999999999964
43,91,0.09999999999999942
44,100,-1.0000000000000007
45,100,-1.0000000000000007
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,41,0.5999999999999999
50,66,0.34999999999999964
51,100,-1.0000000000000007
52,100,-1.0000000000000007
53,21,0.7999999999999999
54,100,-1.0000000000000007
55,16,0.85
56,67,0.33999999999999964
57,100,-1.0000000000000007
58,100,-1.0000000000000007
59,100,-1.0000000000000007
60,100,-1.0000000000000007
61,100,-1.0000000000000007
62,33,0.6799999999999999
63,100,-1.0000000000000007
64,100,-1.0000000000000007
65,100,-1.0000000000000007
66,100,-1.0000000000000007
67,25,0.7599999999999999
68,37,0.6399999999999999
69,100,-1.0000000000000007
70,17,0.84
71,9,0.92
72,5,0.96
73,100,-1.0000000000000007
74,44,0.5699999999999998
75,100,-1.0000000000000007
76,36,0.6499999999999999
77,50,0.5099999999999998
78,100,-1.0000000000000007
79,68,0.3299999999999996
80,39,0.6199999999999999
81,10,0.91
82,100,-1.0000000000000007
83,100,-1.0000000000000007
84,100,-1.0000000000000007
85,44,0.5699999999999998
86,100,-1.0000000000000007
87,100,-1.0000000000000007
88,42,0.5899999999999999
89,100,-1.0000000000000007
90,57,0.4399999999999997
91,100,-1.0000000000000007
92,26,0.75
93,86,0.14999999999999947
94,59,0.4199999999999997
95,34,0.6699999999999999
96,100,-1.0000000000000007
97,5,0.96
98,100,-1.0000000000000007
99,13,0.88
100,41,0.5999999999999999
101,63,0.37999999999999967
102,42,0.5899999999999999
103,74,0.2699999999999996
104,55,0.45999999999999974
105,66,0.34999999999999964
106,20,0.8099999999999999
107,100,-1.0000000000000007
108,6,0.95
109,15,0.86
110,100,-1.0000000000000007
111,23,0.7799999999999999
112,100,-1.0000000000000007
113,58,0.4299999999999997
114,100,-1.0000000000000007
115,83,0.1799999999999995
116,9,0.92
117,100,-1.0000000000000007
118,47,0.5399999999999998
119,21,0.7999999999999999
120,54,0.46999999999999975
121,11,0.9
122,69,0.3199999999999996
123,100,-1.0000000000000007
124,100,-1.0000000000000007
125,56,0.44999999999999973
126,22,0.7899999999999999
127,16,0.85
128,7,0.94
129,73,0.2799999999999996
130,45,0.5599999999999998
131,27,0.74
132,100,-1.0000000000000007
133,22,0.7899999999999999
134,100,-1.0000000000000007
135,8,0.9299999999999999
136,55,0.45999999999999974
137,51,0.4999999999999998
138,10,0.91
139,34,0.6699999999999999
140,15,0.86
141,15,0.86
142,20,0.8099999999999999
143,53,0.47999999999999976
144,75,0.25999999999999956
145,100,-1.0000000000000007
146,17,0.84
147,62,0.3899999999999997
148,42,0.5899999999999999
149,95,0.05999999999999939
150,45,0.5599999999999998
151,13,0.88
152,9,0.92
153,16,0.85
154,11,0.9
155,8,0.9299999999999999
156,6,0.95
157,14,0.87
158,100,-1.0000000000000007
