episode,steps,rewards
1,100,-0.6000000000000004
2,100,-0.6000000000000004
3,100,-0.6000000000000004
4,29,9.832
5,100,-0.6000000000000004
6,37,9.784
7,100,-0.6000000000000004
8,100,-0.6000000000000004
9,91,9.459999999999999
10,31,9.82
11,100,-0.6000000000000004
12,100,-0.6000000000000004
13,100,-0.6000000000000004
14,100,-0.6000000000000004
15,100,-0.6000000000000004
16,100,-0.6000000000000004
17,100,-0.6000000000000004
18,100,-0.6000000000000004
19,100,-0.6000000000000004
20,100,-0.6000000000000004
21,100,-0.6000000000000004
22,100,-0.6000000000000004
23,100,-0.6000000000000004
24,26,9.85
25,100,-0.6000000000000004
26,100,-0.6000000000000004
27,100,-0.6000000000000004
28,100,-0.6000000000000004
29,100,-0.6000000000000004
30,100,-0.6000000000000004
31,100,-0.6000000000000004
32,100,-0.6000000000000004
33,100,-0.6000000000000004
34,100,-0.6000000000000004
35,100,-0.6000000000000004
36,100,-0.6000000000000004
37,84,9.501999999999999
38,100,-0.6000000000000004
39,58,9.658
40,100,-0.6000000000000004
41,100,-0.6000000000000004
42,100,-0.6000000000000004
43,100,-0.6000000000000004
44,100,-0.6000000000000004
45,43,9.748
46,100,-0.6000000000000004
47,100,-0.6000000000000004
48,100,-0.6000000000000004
49,100,-0.6000000000000004
50,36,9.79
51,100,-0.6000000000000004
52,58,9.658
53,100,-0.6000000000000004
54,25,9.856
55,100,-0.6000000000000004
56,87,9.484
57,100,-0.6000000000000004
58,67,9.604
59,100,-0.6000000000000004
60,28,9.838
61,88,9.478
62,100,-0.6000000000000004
63,44,9.741999999999999
64,25,9.856
65,100,-0.6000000000000004
66,100,-0.6000000000000004
67,100,-0.6000000000000004
68,100,-0.6000000000000004
69,23,9.868
70,10,9.946
71,100,-0.6000000000000004
72,100,-0.6000000000000004
73,100,-0.6000000000000004
74,100,-0.6000000000000004
75,100,-0.6000000000000004
76,100,-0.6000000000000004
77,100,-0.6000000000000004
78,100,-0.6000000000000004
79,83,9.508
80,44,9.741999999999999
81,100,-0.6000000000000004
82,100,-0.6000000000000004
83,100,-0.6000000000000004
84,100,-0.6000000000000004
85,50,9.706
86,100,-0.6000000000000004
87,13,9.928
88,100,-0.6000000000000004
89,27,9.844
90,100,-0.6000000000000004
91,9,9.952
92,54,9.682
93,96,9.43
94,100,-0.6000000000000004
95,11,9.94
96,12,9.934
97,35,9.796
98,100,-0.6000000000000004
99,100,-0.6000000000000004
100,78,9.538
101,77,9.544
102,45,9.736
103,10,9.946
104,40,9.766
105,22,9.874
106,95,9.436
107,43,9.748
108,34,9.802
109,44,9.741999999999999
110,20,9.886
111,9,9.952
112,100,-0.6000000000000004
113,57,9.664
114,100,-0.6000000000000004
115,58,9.658
116,4,9.982
117,6,9.97
118,100,-0.6000000000000004
119,57,9.664
120,100,-0.6000000000000004
121,100,-0.6000000000000004
