episode,steps,rewards
1,100,0.0
2,100,0.0
3,100,0.0
4,100,0.0
5,100,0.0
6,92,10.0
7,12,10.0
8,100,0.0
9,100,0.0
10,100,0.0
11,100,0.0
12,100,0.0
13,17,10.0
14,100,0.0
15,100,0.0
16,24,10.0
17,100,0.0
18,100,0.0
19,100,0.0
20,100,0.0
21,100,0.0
22,100,0.0
23,100,0.0
24,26,10.0
25,100,0.0
26,100,0.0
27,100,0.0
28,100,0.0
29,100,0.0
30,100,0.0
31,12,10.0
32,100,0.0
33,100,0.0
34,100,0.0
35,100,0.0
36,100,0.0
37,100,0.0
38,100,0.0
39,100,0.0
40,100,0.0
41,70,10.0
42,29,10.0
43,100,0.0
44,100,0.0
45,100,0.0
46,100,0.0
47,100,0.0
48,25,10.0
49,100,0.0
50,100,0.0
51,100,0.0
52,100,0.0
53,100,0.0
54,58,10.0
55,100,0.0
56,100,0.0
57,100,0.0
58,100,0.0
59,100,0.0
60,100,0.0
61,34,10.0
62,17,10.0
63,100,0.0
64,18,10.0
65,100,0.0
66,100,0.0
67,100,0.0
68,41,10.0
69,100,0.0
70,100,0.0
71,100,0.0
72,100,0.0
73,100,0.0
74,100,0.0
75,10,10.0
76,8,10.0
77,100,0.0
78,100,0.0
79,100,0.0
80,100,0.0
81,81,10.0
82,100,0.0
83,23,10.0
84,100,0.0
85,26,10.0
86,19,10.0
87,100,0.0
88,100,0.0
89,100,0.0
90,100,0.0
91,100,0.0
92,100,0.0
93,100,0.0
94,100,0.0
95,100,0.0
96,100,0.0
97,100,0.0
98,100,0.0
99,100,0.0
100,20,10.0
101,100,0.0
102,7,10.0
103,100,0.0
104,33,10.0
105,100,0.0
106,100,0.0
107,39,10.0
108,100,0.0
109,100,0.0
110,38,10.0
111,100,0.0
112,51,10.0
113,100,0.0
114,100,0.0
115,100,0.0
116,100,0.0
117,47,10.0
118,100,0.0
119,100,0.0
120,100,0.0
121,100,0.0
122,100,0.0
123,2,10.0
124,8,10.0
125,21,10.0
126,100,0.0
127,100,10.0
128,100,0.0
129,23,10.0
130,100,0.0
131,100,0.0
132,100,0.0
133,100,0.0
134,12,10.0
135,100,0.0
136,100,0.0
137,58,10.0
138,100,0.0
139,82,10.0
140,5,10.0
141,100,0.0
142,100,0.0
143,100,0.0
144,5,10.0
145,5,10.0
146,100,0.0
147,82,10.0
148,4,10.0
149,100,0.0
150,8,10.0
151,100,0.0
152,100,0.0
153,100,0.0
154,37,10.0
155,100,0.0
156,100,0.0
157,5,10.0
158,100,0.0
159,92,10.0
160,100,0.0
161,10,10.0
162,100,0.0
163,100,0.0
164,100,0.0
165,6,10.0
166,8,10.0
167,100,0.0
168,100,0.0
169,8,10.0
170,100,0.0
171,100,0.0
172,62,10.0
173,100,0.0
174,6,10.0
175,100,0.0
176,100,0.0
177,57,10.0
178,13,10.0
179,100,0.0
180,100,0.0
181,5,10.0
182,100,0.0
183,5,10.0
184,100,0.0
185,100,0.0
186,37,10.0
187,16,10.0
188,7,10.0
189,100,0.0
190,3,10.0
191,100,0.0
192,100,0.0
193,100,0.0
194,100,0.0
195,100,0.0
196,100,0.0
197,29,10.0
198,100,0.0
199,100,0.0
200,100,0.0
201,23,10.0
202,100,0.0
203,100,0.0
204,4,10.0
205,13,10.0
206,100,0.0
207,49,10.0
208,100,0.0
209,100,0.0
210,7,10.0
