episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,58,9.43
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,68,9.33
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,50,9.51
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,66,9.35
44,100,-1.0000000000000007
45,100,-1.0000000000000007
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,89,9.12
50,55,9.459999999999999
51,100,-1.0000000000000007
52,41,9.6
53,100,-1.0000000000000007
54,55,9.459999999999999
55,40,9.61
56,51,9.5
57,80,9.209999999999999
58,71,9.299999999999999
59,100,-1.0000000000000007
60,42,9.59
61,60,9.41
62,100,-1.0000000000000007
63,25,9.76
64,77,9.24
65,100,-1.0000000000000007
66,66,9.35
67,27,9.74
68,47,9.54
69,84,9.17
70,39,9.62
71,98,9.03
72,33,9.68
73,23,9.78
74,29,9.72
75,19,9.82
76,70,9.309999999999999
77,37,9.64
78,40,9.61
79,37,9.64
80,58,9.43
81,67,9.34
82,31,9.7
83,29,9.72
84,30,9.709999999999999
85,22,9.79
86,25,9.76
87,44,9.57
88,23,9.78
89,37,9.64
90,21,9.8
91,47,9.54
92,39,9.62
93,25,9.76
94,25,9.76
95,43,9.58
96,21,9.8
97,41,9.6
98,19,9.82
99,39,9.62
100,33,9.68
101,31,9.7
102,25,9.76
103,26,9.75
104,31,9.7
105,19,9.82
106,19,9.82
107,21,9.8
108,21,9.8
109,35,9.66
110,23,9.78
111,69,9.32
112,21,9.8
113,19,9.82
114,25,9.76
115,31,9.7
116,23,9.78
117,17,9.84
118,17,9.84
119,43,9.58
120,21,9.8
121,19,9.82
122,31,9.7
123,19,9.82
124,33,9.68
125,27,9.74
126,35,9.66
127,35,9.66
128,15,9.86
129,17,9.84
130,21,9.8
131,29,9.72
132,19,9.82
133,29,9.72
134,23,9.78
135,17,9.84
136,27,9.74
137,27,9.74
138,29,9.72
139,21,9.8
140,17,9.84
141,47,9.54
142,27,9.74
143,21,9.8
144,23,9.78
145,23,9.78
146,17,9.84
147,25,9.76
148,21,9.8
149,19,9.82
150,22,9.79
151,21,9.8
152,19,9.82
153,21,9.8
154,21,9.8
155,33,9.68
156,19,9.82
157,19,9.82
158,19,9.82
159,15,9.86
160,27,9.74
161,17,9.84
162,20,9.81
163,17,9.84
164,25,9.76
165,17,9.84
166,19,9.82
167,17,9.84
168,19,9.82
169,17,9.84
170,17,9.84
171,26,9.75
172,19,9.82
173,15,9.86
174,19,9.82
175,21,9.8
176,21,9.8
177,15,9.86
178,23,9.78
179,15,9.86
180,17,9.84
181,19,9.82
182,19,9.82
183,19,9.82
184,21,9.8
185,15,9.86
186,25,9.76
187,19,9.82
188,31,9.7
189,15,9.86
190,17,9.84
191,17,9.84
192,19,9.82
193,19,9.82
194,17,9.84
195,17,9.84
196,23,9.78
197,25,9.76
198,15,9.86
199,17,9.84
200,15,9.86
201,27,9.74
202,17,9.84
203,15,9.86
204,15,9.86
205,23,9.78
206,15,9.86
207,17,9.84
208,15,9.86
209,19,9.82
210,19,9.82
