episode,steps,rewards
1,100,-1.0000000000000007
2,97,9.04
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,44,9.57
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,99,9.02
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,83,9.18
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,73,9.28
24,100,-1.0000000000000007
25,59,9.42
26,100,-1.0000000000000007
27,78,9.23
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,66,9.35
31,65,9.36
32,100,-1.0000000000000007
33,52,9.49
34,51,9.5
35,74,9.27
36,45,9.56
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,55,9.459999999999999
41,49,9.52
42,25,9.76
43,25,9.76
44,95,9.059999999999999
45,58,9.43
46,36,9.65
47,44,9.57
48,34,9.67
49,76,9.25
50,71,9.299999999999999
51,100,-1.0000000000000007
52,37,9.64
53,36,9.65
54,19,9.82
55,25,9.76
56,61,9.4
57,47,9.54
58,26,9.75
59,39,9.62
60,21,9.8
61,26,9.75
62,20,9.81
63,54,9.469999999999999
64,36,9.65
65,39,9.62
66,31,9.7
67,84,9.17
68,26,9.75
69,17,9.84
70,35,9.66
71,25,9.76
72,27,9.74
73,16,9.85
74,23,9.78
75,17,9.84
76,21,9.8
77,52,9.49
78,17,9.84
79,17,9.84
80,15,9.86
81,15,9.86
82,15,9.86
83,15,9.86
84,15,9.86
85,15,9.86
86,15,9.86
87,15,9.86
88,15,9.86
89,15,9.86
90,15,9.86
91,15,9.86
92,15,9.86
93,15,9.86
94,15,9.86
95,15,9.86
96,15,9.86
97,15,9.86
98,15,9.86
99,15,9.86
100,15,9.86
101,15,9.86
102,15,9.86
103,15,9.86
104,15,9.86
105,15,9.86
106,15,9.86
107,15,9.86
108,15,9.86
109,15,9.86
110,15,9.86
111,15,9.86
112,15,9.86
113,15,9.86
114,15,9.86
115,15,9.86
116,15,9.86
117,15,9.86
118,15,9.86
119,15,9.86
