episode,steps,rewards
1,100,-1.0000000000000007
2,100,-1.0000000000000007
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,80,9.209999999999999
16,100,-1.0000000000000007
17,100,-1.0000000000000007
18,84,9.17
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,100,-1.0000000000000007
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,100,-1.0000000000000007
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,100,-1.0000000000000007
34,100,-1.0000000000000007
35,100,-1.0000000000000007
36,100,-1.0000000000000007
37,100,-1.0000000000000007
38,100,-1.0000000000000007
39,100,-1.0000000000000007
40,82,9.19
41,100,-1.0000000000000007
42,47,9.54
43,100,-1.0000000000000007
44,100,-1.0000000000000007
45,69,9.32
46,100,-1.0000000000000007
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,100,-1.0000000000000007
50,100,-1.0000000000000007
51,100,-1.0000000000000007
52,21,9.8
53,100,-1.0000000000000007
54,100,-1.0000000000000007
55,100,-1.0000000000000007
56,80,9.209999999999999
57,100,-1.0000000000000007
58,91,9.1
59,100,-1.0000000000000007
60,41,9.6
61,95,9.059999999999999
62,94,9.07
63,67,9.34
64,26,9.75
65,76,9.25
66,38,9.629999999999999
67,54,9.469999999999999
68,23,9.78
69,29,9.72
70,38,9.629999999999999
71,100,-1.0000000000000007
72,100,-1.0000000000000007
73,32,9.69
74,56,9.45
75,41,9.6
76,57,9.44
77,100,-1.0000000000000007
78,25,9.76
79,43,9.58
80,45,9.56
81,37,9.64
82,32,9.69
83,35,9.66
84,27,9.74
85,35,9.66
86,43,9.58
87,37,9.64
88,84,9.17
89,71,9.299999999999999
90,31,9.7
91,51,9.5
92,30,9.709999999999999
93,44,9.57
94,36,9.65
95,45,9.56
96,42,9.59
97,27,9.74
98,23,9.78
99,35,9.66
100,24,9.77
101,24,9.77
102,27,9.74
103,87,9.139999999999999
104,41,9.6
105,23,9.78
106,37,9.64
107,31,9.7
108,29,9.72
109,29,9.72
110,25,9.76
111,35,9.66
112,88,9.129999999999999
113,47,9.54
114,27,9.74
115,36,9.65
116,29,9.72
117,25,9.76
118,31,9.7
119,31,9.7
120,23,9.78
121,31,9.7
122,40,9.61
123,46,9.549999999999999
124,19,9.82
125,26,9.75
126,19,9.82
127,27,9.74
128,23,9.78
129,21,9.8
130,31,9.7
131,25,9.76
132,19,9.82
133,19,9.82
134,19,9.82
135,19,9.82
136,25,9.76
137,31,9.7
138,23,9.78
139,21,9.8
140,19,9.82
141,21,9.8
142,19,9.82
143,50,9.51
144,19,9.82
145,21,9.8
146,23,9.78
147,28,9.73
148,23,9.78
149,60,9.41
150,25,9.76
151,27,9.74
152,29,9.72
153,19,9.82
154,21,9.8
155,23,9.78
156,29,9.72
157,21,9.8
158,19,9.82
159,17,9.84
160,21,9.8
161,27,9.74
162,19,9.82
163,27,9.74
164,25,9.76
165,23,9.78
166,19,9.82
167,21,9.8
168,25,9.76
169,21,9.8
170,17,9.84
171,21,9.8
172,21,9.8
173,25,9.76
174,29,9.72
175,19,9.82
176,23,9.78
177,21,9.8
178,21,9.8
179,19,9.82
180,25,9.76
181,27,9.74
182,19,9.82
183,19,9.82
184,19,9.82
185,21,9.8
186,25,9.76
187,21,9.8
188,23,9.78
189,17,9.84
190,19,9.82
191,17,9.84
192,23,9.78
193,17,9.84
194,23,9.78
195,19,9.82
196,36,9.65
197,19,9.82
198,23,9.78
199,17,9.84
200,19,9.82
201,27,9.74
202,17,9.84
203,21,9.8
204,17,9.84
