episode,steps,rewards
1,100,-1.0000000000000007
2,33,4.68
3,100,-1.0000000000000007
4,100,-1.0000000000000007
5,100,-1.0000000000000007
6,100,-1.0000000000000007
7,100,-1.0000000000000007
8,100,-1.0000000000000007
9,100,-1.0000000000000007
10,100,-1.0000000000000007
11,100,-1.0000000000000007
12,100,-1.0000000000000007
13,100,-1.0000000000000007
14,100,-1.0000000000000007
15,100,-1.0000000000000007
16,100,-1.0000000000000007
17,67,4.34
18,100,-1.0000000000000007
19,100,-1.0000000000000007
20,100,-1.0000000000000007
21,100,-1.0000000000000007
22,100,-1.0000000000000007
23,100,-1.0000000000000007
24,100,-1.0000000000000007
25,64,4.369999999999999
26,100,-1.0000000000000007
27,100,-1.0000000000000007
28,100,-1.0000000000000007
29,26,4.75
30,100,-1.0000000000000007
31,100,-1.0000000000000007
32,100,-1.0000000000000007
33,58,4.43
34,90,4.109999999999999
35,100,-1.0000000000000007
36,46,4.55
37,100,-1.0000000000000007
38,44,4.569999999999999
39,86,4.1499999999999995
40,100,-1.0000000000000007
41,100,-1.0000000000000007
42,100,-1.0000000000000007
43,100,-1.0000000000000007
44,100,-1.0000000000000007
45,100,-1.0000000000000007
46,65,4.359999999999999
47,100,-1.0000000000000007
48,100,-1.0000000000000007
49,32,4.6899999999999995
50,100,-1.0000000000000007
51,100,-1.0000000000000007
52,61,4.3999999999999995
53,76,4.25
54,59,4.42
55,100,-1.0000000000000007
56,100,-1.0000000000000007
57,100,-1.0000000000000007
58,64,4.369999999999999
59,100,-1.0000000000000007
60,84,4.17
61,81,4.199999999999999
62,100,-1.0000000000000007
63,100,-1.0000000000000007
64,100,-1.0000000000000007
65,39,4.62
66,56,4.449999999999999
67,26,4.75
68,43,4.58
69,27,4.74
70,36,4.6499999999999995
71,100,-1.0000000000000007
72,63,4.38
73,66,4.35
74,80,4.209999999999999
75,28,4.7299999999999995
76,48,4.529999999999999
77,42,4.59
78,40,4.609999999999999
79,31,4.7
80,76,4.25
81,32,4.6899999999999995
82,31,4.7
83,56,4.449999999999999
84,59,4.42
85,35,4.66
86,67,4.34
87,55,4.46
88,20,4.81
89,55,4.46
90,44,4.569999999999999
91,36,4.6499999999999995
92,81,4.199999999999999
93,70,4.31
94,43,4.58
95,72,4.289999999999999
96,34,4.67
97,24,4.77
98,28,4.7299999999999995
99,40,4.609999999999999
100,39,4.62
101,48,4.529999999999999
102,59,4.42
103,34,4.67
104,22,4.79
105,26,4.75
106,22,4.79
107,34,4.67
108,33,4.68
109,34,4.67
110,28,4.7299999999999995
111,29,4.72
112,38,4.63
113,70,4.31
114,26,4.75
115,62,4.39
116,22,4.79
117,58,4.43
118,24,4.77
119,27,4.74
120,18,4.83
121,20,4.81
122,22,4.79
123,22,4.79
124,20,4.81
125,40,4.609999999999999
126,20,4.81
127,24,4.77
128,24,4.77
129,27,4.74
130,32,4.6899999999999995
131,22,4.79
132,23,4.78
133,26,4.75
134,28,4.7299999999999995
135,37,4.64
136,33,4.68
137,24,4.77
138,18,4.83
139,28,4.7299999999999995
140,26,4.75
141,20,4.81
142,21,4.8
143,28,4.7299999999999995
144,26,4.75
145,18,4.83
146,25,4.76
147,20,4.81
148,18,4.83
149,21,4.8
150,28,4.7299999999999995
151,28,4.7299999999999995
152,24,4.77
153,23,4.78
154,18,4.83
155,25,4.76
156,32,4.6899999999999995
157,22,4.79
158,22,4.79
159,26,4.75
160,32,4.6899999999999995
161,20,4.81
162,18,4.83
163,16,4.85
164,22,4.79
165,53,4.4799999999999995
166,20,4.81
167,18,4.83
168,23,4.78
169,18,4.83
170,16,4.85
171,26,4.75
172,26,4.75
173,15,4.86
174,23,4.78
175,19,4.82
176,15,4.86
177,15,4.86
178,19,4.82
179,21,4.8
180,22,4.79
181,19,4.82
182,15,4.86
183,19,4.82
184,19,4.82
185,17,4.84
186,30,4.71
187,19,4.82
188,19,4.82
189,19,4.82
190,19,4.82
191,21,4.8
192,20,4.81
193,19,4.82
194,15,4.86
195,15,4.86
196,24,4.77
197,15,4.86
198,17,4.84
199,15,4.86
200,17,4.84
201,15,4.86
202,17,4.84
203,19,4.82
204,19,4.82
205,17,4.84
206,44,4.569999999999999
207,17,4.84
208,17,4.84
209,17,4.84
210,19,4.82
211,21,4.8
212,15,4.86
213,19,4.82
214,17,4.84
215,17,4.84
216,18,4.83
217,18,4.83
218,15,4.86
219,19,4.82
220,18,4.83
221,15,4.86
222,16,4.85
223,19,4.82
224,15,4.86
225,21,4.8
226,15,4.86
227,17,4.84
228,24,4.77
229,23,4.78
230,15,4.86
231,15,4.86
232,18,4.83
233,20,4.81
234,17,4.84
235,27,4.74
236,17,4.84
237,15,4.86
238,19,4.82
239,21,4.8
240,15,4.86
241,15,4.86
242,21,4.8
243,15,4.86
244,17,4.84
245,16,4.85
246,16,4.85
247,15,4.86
248,23,4.78
249,17,4.84
250,15,4.86
251,17,4.84
252,15,4.86
253,15,4.86
254,16,4.85
255,19,4.82
256,22,4.79
257,17,4.84
258,15,4.86
259,19,4.82
260,15,4.86
261,15,4.86
262,15,4.86
263,23,4.78
264,15,4.86
265,18,4.83
266,15,4.86
267,15,4.86
268,15,4.86
269,19,4.82
270,20,4.81
271,17,4.84
272,15,4.86
273,15,4.86
274,15,4.86
275,17,4.84
276,15,4.86
277,15,4.86
278,20,4.81
279,19,4.82
280,15,4.86
281,17,4.84
282,15,4.86
283,15,4.86
284,17,4.84
285,17,4.84
286,17,4.84
287,15,4.86
288,17,4.84
289,15,4.86
290,15,4.86
291,15,4.86
292,15,4.86
293,15,4.86
294,19,4.82
295,15,4.86
296,17,4.84
297,15,4.86
298,15,4.86
299,15,4.86
300,26,4.75
301,17,4.84
302,15,4.86
303,19,4.82
304,17,4.84
305,17,4.84
306,19,4.82
307,15,4.86
308,15,4.86
309,15,4.86
310,15,4.86
311,17,4.84
312,15,4.86
313,15,4.86
314,19,4.82
315,15,4.86
316,15,4.86
317,17,4.84
318,26,4.75
319,15,4.86
320,15,4.86
321,15,4.86
322,17,4.84
323,15,4.86
324,21,4.8
325,15,4.86
326,15,4.86
327,21,4.8
328,17,4.84
329,17,4.84
330,15,4.86
331,15,4.86
332,17,4.84
333,19,4.82
334,15,4.86
335,15,4.86
336,15,4.86
337,15,4.86
338,17,4.84
339,15,4.86
340,15,4.86
341,15,4.86
342,15,4.86
343,15,4.86
344,15,4.86
345,15,4.86
346,15,4.86
347,15,4.86
348,17,4.84
349,15,4.86
350,16,4.85
351,15,4.86
352,15,4.86
353,15,4.86
354,17,4.84
355,17,4.84
356,17,4.84
357,15,4.86
358,15,4.86
359,22,4.79
360,17,4.84
361,17,4.84
362,15,4.86
363,15,4.86
364,15,4.86
365,15,4.86
366,15,4.86
367,15,4.86
368,15,4.86
369,15,4.86
370,15,4.86
371,15,4.86
372,15,4.86
373,15,4.86
374,15,4.86
375,17,4.84
376,15,4.86
377,15,4.86
378,15,4.86
379,15,4.86
380,15,4.86
381,15,4.86
382,15,4.86
383,15,4.86
384,15,4.86
385,15,4.86
386,15,4.86
387,15,4.86
388,15,4.86
389,15,4.86
390,15,4.86
391,15,4.86
392,15,4.86
393,15,4.86
394,15,4.86
395,15,4.86
396,15,4.86
397,15,4.86
398,15,4.86
399,15,4.86
400,15,4.86
401,15,4.86
402,15,4.86
403,15,4.86
404,15,4.86
405,17,4.84
406,15,4.86
407,17,4.84
408,15,4.86
409,15,4.86
410,15,4.86
411,15,4.86
412,15,4.86
413,15,4.86
414,15,4.86
415,15,4.86
416,15,4.86
417,15,4.86
418,15,4.86
419,15,4.86
420,15,4.86
421,15,4.86
422,15,4.86
423,15,4.86
424,15,4.86
425,15,4.86
426,15,4.86
427,15,4.86
428,15,4.86
429,15,4.86
430,15,4.86
431,15,4.86
432,15,4.86
433,15,4.86
434,15,4.86
435,15,4.86
436,15,4.86
437,17,4.84
438,17,4.84
439,15,4.86
440,15,4.86
441,15,4.86
442,15,4.86
443,16,4.85
444,15,4.86
445,15,4.86
446,15,4.86
447,17,4.84
448,15,4.86
449,15,4.86
450,15,4.86
451,17,4.84
452,15,4.86
453,15,4.86
454,15,4.86
455,15,4.86
456,15,4.86
457,15,4.86
458,15,4.86
459,15,4.86
460,15,4.86
461,15,4.86
462,15,4.86
463,15,4.86
464,15,4.86
465,15,4.86
466,15,4.86
467,15,4.86
468,15,4.86
469,15,4.86
470,15,4.86
471,15,4.86
472,15,4.86
473,17,4.84
474,15,4.86
475,15,4.86
476,15,4.86
477,15,4.86
478,15,4.86
479,15,4.86
480,15,4.86
481,15,4.86
482,15,4.86
483,15,4.86
484,15,4.86
485,15,4.86
486,17,4.84
487,15,4.86
488,15,4.86
489,15,4.86
490,15,4.86
491,15,4.86
492,15,4.86
493,15,4.86
494,15,4.86
495,15,4.86
496,15,4.86
497,15,4.86
498,15,4.86
499,17,4.84
500,15,4.86
