episode,steps,rewards
1,100,-0.20000000000000015
2,100,-0.20000000000000015
3,100,-0.20000000000000015
4,100,-0.20000000000000015
5,100,-0.20000000000000015
6,100,-0.20000000000000015
7,100,-0.20000000000000015
8,100,-0.20000000000000015
9,100,-0.20000000000000015
10,100,-0.20000000000000015
11,100,-0.20000000000000015
12,100,-0.20000000000000015
13,100,-0.20000000000000015
14,100,-0.20000000000000015
15,94,9.814
16,100,-0.20000000000000015
17,100,-0.20000000000000015
18,100,-0.20000000000000015
19,100,-0.20000000000000015
20,100,-0.20000000000000015
21,93,9.816
22,100,-0.20000000000000015
23,100,-0.20000000000000015
24,100,-0.20000000000000015
25,100,-0.20000000000000015
26,100,-0.20000000000000015
27,100,-0.20000000000000015
28,100,-0.20000000000000015
29,100,-0.20000000000000015
30,100,-0.20000000000000015
31,100,-0.20000000000000015
32,100,-0.20000000000000015
33,100,-0.20000000000000015
34,100,-0.20000000000000015
35,100,-0.20000000000000015
36,53,9.896
37,53,9.896
38,100,-0.20000000000000015
39,100,-0.20000000000000015
40,69,9.864
41,100,-0.20000000000000015
42,83,9.836
43,100,-0.20000000000000015
44,100,-0.20000000000000015
45,100,-0.20000000000000015
46,100,-0.20000000000000015
47,100,-0.20000000000000015
48,69,9.864
49,100,-0.20000000000000015
50,98,9.806
51,100,-0.20000000000000015
52,62,9.878
53,100,-0.20000000000000015
54,48,9.906
55,54,9.894
56,54,9.894
57,68,9.866
58,46,9.91
59,100,-0.20000000000000015
60,38,9.926
61,100,-0.20000000000000015
62,56,9.89
63,64,9.874
64,100,-0.20000000000000015
65,65,9.872
66,28,9.946
67,30,9.942
68,82,9.838
69,34,9.934
70,26,9.95
71,34,9.934
72,76,9.85
73,31,9.94
74,73,9.856
75,47,9.908
76,64,9.874
77,38,9.926
78,26,9.95
79,29,9.944
80,16,9.97
81,48,9.906
82,26,9.95
83,42,9.918
84,20,9.962
85,22,9.958
86,62,9.878
87,26,9.95
88,20,9.962
89,22,9.958
90,18,9.966
91,42,9.918
92,40,9.922
93,54,9.894
94,26,9.95
95,22,9.958
96,22,9.958
97,26,9.95
98,38,9.926
99,38,9.926
100,26,9.95
101,18,9.966
102,22,9.958
103,29,9.944
104,47,9.908
105,24,9.954
106,24,9.954
107,38,9.926
108,18,9.966
109,22,9.958
110,30,9.942
111,28,9.946
112,20,9.962
113,20,9.962
114,36,9.93
115,20,9.962
116,22,9.958
117,24,9.954
118,22,9.958
119,40,9.922
120,20,9.962
121,24,9.954
122,18,9.966
123,22,9.958
124,20,9.962
125,20,9.962
126,36,9.93
127,26,9.95
128,24,9.954
129,16,9.97
130,22,9.958
131,22,9.958
132,22,9.958
