episode,steps,rewards,loss
1,100,-1.0000000000000007,1.5532792174816132
2,100,-1.0000000000000007,0.10825847279280425
3,100,-1.0000000000000007,0.09223184913396835
4,100,-1.0000000000000007,0.0912044382095337
5,100,-1.0000000000000007,0.07997056018561124
6,65,9.37,0.07725159984368545
7,100,-1.0000000000000007,0.27779089115560057
8,100,-1.0000000000000007,0.20417581927031278
9,100,-1.0000000000000007,0.23393023163080215
10,100,-1.0000000000000007,0.18730931404978038
11,100,-1.0000000000000007,0.16361135546118022
12,100,-1.0000000000000007,0.09494933294132352
13,100,-1.0000000000000007,0.06575732944533229
14,100,-1.0000000000000007,0.06191922206431627
15,100,-1.0000000000000007,0.07340860519558191
16,83,9.19,0.0505157881023654
17,100,-1.0000000000000007,0.09171292972750962
18,100,-1.0000000000000007,0.07792433205991983
19,100,-1.0000000000000007,0.05779484371654689
20,100,-1.0000000000000007,0.0675084396917373
21,100,-1.0000000000000007,0.08886798708699643
22,59,9.43,0.056289130979675354
23,100,-1.0000000000000007,0.08019528622273356
24,100,-1.0000000000000007,0.05643056226428598
25,100,-1.0000000000000007,0.06609472944866866
26,100,-1.0000000000000007,0.07498272804543377
27,100,-1.0000000000000007,0.04992650046944618
28,100,-1.0000000000000007,0.06325859350617975
29,88,9.139999999999999,0.05181760504439643
30,100,-1.0000000000000007,0.04819989419076592
31,100,-1.0000000000000007,0.08710210175719112
32,100,-1.0000000000000007,0.07473450393415987
33,100,-1.0000000000000007,0.07099380249157548
34,100,-1.0000000000000007,0.06147988660261035
35,89,9.129999999999999,0.07236460644458786
36,69,9.33,0.11259426310172548
37,100,-1.0000000000000007,0.07354092504829168
38,100,-1.0000000000000007,0.08967488262336701
39,100,-1.0000000000000007,0.0742886898573488
40,100,-1.0000000000000007,0.07695541166234761
41,100,9.02,0.08318954090122134
42,94,9.08,0.09894830179697972
43,53,9.49,0.07506806171446476
44,72,9.299999999999999,0.1242513574866785
45,100,-1.0000000000000007,0.08677769914269447
46,100,-1.0000000000000007,0.07146974341012538
47,59,9.43,0.06973634641301835
48,100,-1.0000000000000007,0.06254190817475319
49,100,-1.0000000000000007,0.0767812308575958
50,100,-1.0000000000000007,0.05147566006751731
51,23,9.79,0.10559195790277875
52,37,9.65,0.07147183661928048
53,35,9.67,0.0924201757514051
54,35,9.67,0.09493978193828038
55,20,9.82,0.07182166976854205
56,33,9.69,0.11690294584541609
57,60,9.42,0.09305347123493751
58,87,9.149999999999999,0.09533056937928858
59,32,9.7,0.10739493422443047
60,31,9.709999999999999,0.07597379158100774
61,47,9.549999999999999,0.1720216445862613
62,56,9.459999999999999,0.10345920461363026
63,58,9.44,0.12134314940214672
64,51,9.51,0.15333035708788564
65,19,9.83,0.12312977937491316
66,38,9.64,0.10646037120175988
67,26,9.76,0.10648091646054617
68,53,9.49,0.11520131712533394
69,45,9.57,0.10816791374236345
70,76,9.26,0.09696181348868106
71,32,9.7,0.2458313461393118
72,27,9.75,0.16024784316067342
73,31,9.709999999999999,0.16327203629959014
74,19,9.83,0.10507124848663807
75,38,9.64,0.13291597655533174
76,21,9.81,0.22371813335589
77,25,9.77,0.15431111983954907
78,21,9.81,0.07721383239896525
79,32,9.7,0.21770973724778742
80,21,9.81,0.12085017641740185
81,23,9.79,0.3038056798927162
82,17,9.85,0.13710438394371202
83,23,9.79,0.1108421228988015
84,19,9.83,0.10726013828657176
85,17,9.85,0.1293985145714353
86,25,9.77,0.15027455911040305
87,33,9.69,0.13582332477425085
88,31,9.709999999999999,0.16762819369473764
89,23,9.79,0.11789646833811117
90,31,9.709999999999999,0.095117868194657
91,17,9.85,0.23489543006700628
92,17,9.85,0.22087175793507519
93,23,9.79,0.15852304224086844
94,23,9.79,0.2270010249770206
95,36,9.66,0.22589760824727514
96,19,9.83,0.1805203911897383
97,37,9.65,0.21644228233678922
98,19,9.83,0.12255289993788067
99,25,9.77,0.22880683958530426
100,17,9.85,0.15649699956616936
101,21,9.81,0.20717383247046245
102,22,9.8,0.2851949733766643
103,19,9.83,0.19516620432075701
104,22,9.8,0.15517364230684258
105,20,9.82,0.19173176027834415
106,23,9.79,0.1802274798569472
107,20,9.82,0.18585676942020654
108,23,9.79,0.13976974769130998
109,25,9.77,0.14226166270673274
110,29,9.73,0.15151258198351697
111,34,9.68,0.3132396640584749
112,17,9.85,0.22343908995389938
113,19,9.83,0.17843454566441083
114,19,9.83,0.17435010718671898
115,21,9.81,0.1900614762590045
116,17,9.85,0.1524249288965674
117,17,9.85,0.14291136821403222
118,18,9.84,0.19054998664392364
119,19,9.83,0.1947171860619595
120,17,9.85,0.1379222758114338
121,18,9.84,0.22746562171313497
122,21,9.81,0.24815329252963975
123,27,9.75,0.17196387480254527
124,21,9.81,0.15556388454777853
125,19,9.83,0.18972084416370644
126,18,9.84,0.14479818443457285
127,17,9.85,0.14940620608189525
128,17,9.85,0.15000481706331759
129,19,9.83,0.12447253261741839
130,19,9.83,0.1293734108146868
131,35,9.67,0.21048893768872534
132,17,9.85,0.11215985500637222
133,27,9.75,0.18273679111842756
134,23,9.79,0.1901904158294201
135,19,9.83,0.2135529604397322
136,17,9.85,0.1712478171376621
137,19,9.83,0.16864402866677233
138,18,9.84,0.2922602951940563
139,17,9.85,0.13157488624839223
140,17,9.85,0.10883889325401362
141,25,9.77,0.13683539837598802
142,17,9.85,0.18250034837161794
143,23,9.79,0.21464143175145853
144,20,9.82,0.3502056566998363
145,27,9.75,0.18534450978040695
146,16,9.86,0.09293213556520641
147,17,9.85,0.1348592579803046
148,19,9.83,0.10189970239604774
149,22,9.8,0.15585533732717688
150,21,9.81,0.09699689348538716
151,22,9.8,0.1801347014578906
152,17,9.85,0.10897611147340606
153,17,9.85,0.1448948777773801
154,19,9.83,0.09998932235727184
155,21,9.81,0.06467329311583724
156,17,9.85,0.07571989692309324
157,18,9.84,0.14772851164970133
158,16,9.86,0.13073064386844635
159,18,9.84,0.11986666710840331
160,25,9.77,0.11134935036301613
161,20,9.82,0.11858261125162244
162,19,9.83,0.17593787885025927
163,20,9.82,0.1740599639713764
164,17,9.85,0.11231889882508446
165,18,9.84,0.1292943995859888
166,17,9.85,0.14634213859544082
167,19,9.83,0.12066909219873578
168,17,9.85,0.13757389553767793
169,16,9.86,0.11038612015545368
170,19,9.83,0.1511867214974604
171,22,9.8,0.2104216698895801
172,19,9.83,0.18847505826699107
173,18,9.84,0.16187855187389585
174,17,9.85,0.1008501465925399
175,17,9.85,0.23732773521367242
176,19,9.83,0.10398772751030169
177,21,9.81,0.1317614276139509
178,17,9.85,0.08246562476543819
179,19,9.83,0.147333800988762
180,23,9.79,0.17175790521761644
181,17,9.85,0.08500785687390496
182,23,9.79,0.10863621322357137
183,17,9.85,0.08862772978403989
184,25,9.77,0.08039226792752743
185,17,9.85,0.06933614502058309
186,17,9.85,0.0877615270369193
187,17,9.85,0.08402066721635706
188,20,9.82,0.2388660429045558
189,18,9.84,0.11471857606536812
190,17,9.85,0.11183606575736228
191,18,9.84,0.13330415884653726
192,16,9.86,0.08389249397441745
193,19,9.83,0.24308873007172033
194,17,9.85,0.08840197521974058
195,17,9.85,0.06379974008921314
