episode,steps,rewards,loss
1,100,-1.0000000000000007,0.18934841301292182
2,100,-1.0000000000000007,0.03822459010407329
3,100,-1.0000000000000007,0.04004383886232972
4,100,-1.0000000000000007,0.03893184496089816
5,100,-1.0000000000000007,0.03647679760120809
6,83,9.19,0.02821359335702945
7,88,9.139999999999999,0.0596134820423851
8,31,9.709999999999999,0.34172897683756964
9,89,9.129999999999999,0.24563602215788338
10,96,9.059999999999999,0.28211353364167735
11,83,9.19,0.28137744413352156
12,100,-1.0000000000000007,0.4365563241299242
13,22,9.8,0.5585970260118219
14,100,-1.0000000000000007,0.3618711452744901
15,68,9.34,0.2845130145056721
16,56,9.459999999999999,0.26992673764470965
17,79,9.23,0.2546409492711006
18,58,9.44,0.27380486960715517
19,47,9.549999999999999,0.2219298436564017
20,50,9.52,0.27051289845258
21,100,-1.0000000000000007,0.33412930263206364
22,100,-1.0000000000000007,0.27268953129649165
23,100,-1.0000000000000007,0.23927727616392075
24,51,9.51,0.13334079072171567
25,100,-1.0000000000000007,0.15204451527446508
26,47,9.549999999999999,0.1254941269834625
27,28,9.74,0.17077730978573008
28,44,9.58,0.15819988357411188
29,100,-1.0000000000000007,0.08905146362725645
30,40,9.62,0.12914672089973464
31,52,9.5,0.21915478796626514
32,100,-1.0000000000000007,0.2643674675747752
33,40,9.62,0.2663770165294409
34,38,9.64,0.17167401296625795
35,33,9.69,0.1844947940359513
36,100,-1.0000000000000007,0.13153695452958344
37,73,9.29,0.09704216652588077
38,32,9.7,0.11283098172862083
39,46,9.56,0.1273143700040553
40,42,9.6,0.06474877984839536
41,68,9.34,0.27088744220707345
42,55,9.469999999999999,0.28829804709689183
43,21,9.81,0.20588548055716924
44,42,9.6,0.2819774600544146
45,62,9.4,0.27215275871417216
46,42,9.6,0.3713570138262141
47,100,-1.0000000000000007,0.1944206137023866
48,48,9.54,0.19269806670490652
49,23,9.79,0.15726465772351492
50,64,9.379999999999999,0.14575893767323578
51,65,9.37,0.3619207238921752
52,60,9.42,0.26363522469376527
53,100,-1.0000000000000007,0.2429718539863825
54,49,9.53,0.19000264458662394
55,39,9.629999999999999,0.2751895078481772
56,76,9.26,0.18142739215277529
57,71,9.309999999999999,0.1929785573172947
58,39,9.629999999999999,0.1989429414463349
59,44,9.58,0.19276423781940882
60,71,9.309999999999999,0.2008190109643718
61,80,9.219999999999999,0.324017783603631
62,24,9.78,0.21074371008823314
63,31,9.709999999999999,0.18848131909485785
64,100,-1.0000000000000007,0.1859929938428104
65,100,-1.0000000000000007,0.19992370653897523
66,64,9.379999999999999,0.18775372921663802
67,100,-1.0000000000000007,0.2507151302695274
68,19,9.83,0.18974594869895986
69,100,-1.0000000000000007,0.19643706951290368
70,19,9.83,0.2524221892419614
71,54,9.48,0.2660264593583566
72,38,9.64,0.30050349657080677
73,28,9.74,0.2671660780906677
74,20,9.82,0.0985640600323677
75,44,9.58,0.21471564302390272
76,26,9.76,0.25014000787184787
77,50,9.52,0.18890316225588322
78,53,9.49,0.21079052844137516
79,47,9.549999999999999,0.17962033947573064
80,31,9.709999999999999,0.16983574334411852
81,29,9.73,0.18884778099841085
82,54,9.48,0.28769375370056544
83,68,9.34,0.3876253216089133
84,28,9.74,0.26573413324409295
85,38,9.64,0.33683086142532137
86,43,9.59,0.22625048965388952
87,18,9.84,0.22804823497103321
88,28,9.74,0.22713999855997308
89,22,9.8,0.27475578896701336
90,24,9.78,0.30616166023537517
91,24,9.78,0.21245327002058426
92,92,9.1,0.2184023053749748
93,21,9.81,0.1667141808817784
94,16,9.86,0.17821968882344663
95,26,9.76,0.30887210412094224
96,100,-1.0000000000000007,0.28283822488971055
97,20,9.82,0.19886463712900876
98,16,9.86,0.25586028781253844
99,17,9.85,0.21504431289127646
100,36,9.66,0.2440387705961863
101,26,9.76,0.21852958460266775
102,35,9.67,0.26335960121027063
103,20,9.82,0.28896758779883386
104,26,9.76,0.292818986882384
105,26,9.76,0.20735178500987017
106,24,9.78,0.18880134370798865
107,38,9.64,0.223028615215107
108,26,9.76,0.20299015280145866
109,16,9.86,0.34177211858332157
110,18,9.84,0.19451382694145045
111,37,9.65,0.25483853490771474
112,20,9.82,0.21136119114235044
113,19,9.83,0.2694588381993143
114,16,9.86,0.21121797477826476
115,26,9.76,0.17950236331671476
116,16,9.86,0.2699243708048016
117,40,9.62,0.30943618156015873
118,18,9.84,0.2449960404386123
119,20,9.82,0.1348453275859356
120,24,9.78,0.20493928568127254
121,22,9.8,0.23780748451297934
122,18,9.84,0.3162604793906212
123,20,9.82,0.24252857733517885
124,22,9.8,0.17861997403881766
125,18,9.84,0.2504719257768657
126,16,9.86,0.23461897065863013
127,18,9.84,0.18818554799589846
128,16,9.86,0.10051335976459086
129,24,9.78,0.2751639125247796
130,17,9.85,0.17968022385064294
131,18,9.84,0.23309295872847238
132,16,9.86,0.17518370458856225
133,16,9.86,0.2793450215831399
134,25,9.77,0.19518691807985306
135,20,9.82,0.23515958599746228
136,89,9.129999999999999,0.20958725898788216
137,100,-1.0000000000000007,0.20705465584993363
138,18,9.84,0.33308919581274193
139,18,9.84,0.1770083135407832
140,42,9.6,0.14491327514960653
141,18,9.84,0.18032876195179093
142,17,9.85,0.1601917303222067
143,18,9.84,0.17159405764606264
144,16,9.86,0.17985366564244032
145,16,9.86,0.12998157122638077
146,18,9.84,0.18797013142870533
147,18,9.84,0.15362201631069183
148,16,9.86,0.17502908082678914
149,18,9.84,0.15282298334770733
150,21,9.81,0.18883391922073706
151,18,9.84,0.1610512046350373
152,16,9.86,0.12538812635466456
153,18,9.84,0.17093766873909366
154,16,9.86,0.14835256279911846
155,18,9.84,0.1726931439091762
156,19,9.83,0.12878551461586826
157,16,9.86,0.1647652806714177
158,16,9.86,0.13148349802941084
159,18,9.84,0.07576840132888821
160,16,9.86,0.11434865737101063
161,16,9.86,0.13835221156477928
162,16,9.86,0.1185298376949504
163,18,9.84,0.1239895121090942
164,18,9.84,0.13126429087585872
165,18,9.84,0.3900752489765485
166,17,9.85,0.09448948250535656
167,16,9.86,0.08453821623697877
168,16,9.86,0.18635660433210433
169,16,9.86,0.07905990409199148
170,18,9.84,0.07217114558443427
171,16,9.86,0.10159928281791508
172,16,9.86,0.11340914957690984
173,16,9.86,0.08498912141658366
174,16,9.86,0.0678116389317438
175,24,9.78,0.09901412161222349
176,16,9.86,0.07640028867172077
177,18,9.84,0.0797513753382696
178,20,9.82,0.1177745535504073
179,20,9.82,0.08471156526356935
180,16,9.86,0.08137289865408093
181,16,9.86,0.11159494635649025
182,16,9.86,0.07612195995170623
183,16,9.86,0.08555266226176172
184,18,9.84,0.07182333287265566
185,18,9.84,0.06350020898713006
186,20,9.82,0.06714349305257201
187,16,9.86,0.06972314533777535
188,17,9.85,0.07250312989687219
189,16,9.86,0.04619762900983915
190,16,9.86,0.05850069026928395
191,16,9.86,0.0796803527045995
192,18,9.84,0.04811858173666729
193,18,9.84,0.09068081041591035
194,27,9.75,0.05895952504404165
195,18,9.84,0.08183491757760446
196,16,9.86,0.06664012934197672
197,18,9.84,0.034162252908572555
198,16,9.86,0.08136755524901673
199,16,9.86,0.04843242245260626
200,18,9.84,0.02930546769251426
201,18,9.84,0.0453355208867126
202,16,9.86,0.06195323634892702
203,16,9.86,0.025740608281921595
204,17,9.85,0.05420644115656614
