episode,steps,rewards,loss
1,100,-1.0000000000000007,0.030878623584285378
2,100,-1.0000000000000007,0.005350817581638694
3,100,-1.0000000000000007,0.004124008631333709
4,100,-1.0000000000000007,0.006897890157997608
5,100,-1.0000000000000007,0.007270849607884884
6,100,-1.0000000000000007,0.006961313439533114
7,100,-1.0000000000000007,0.005245030298829079
8,100,-1.0000000000000007,0.00441895910538733
9,100,-1.0000000000000007,0.00470081964507699
10,100,-1.0000000000000007,0.004634757610037923
11,100,-1.0000000000000007,0.004253020174801349
12,100,-1.0000000000000007,0.0029601985262706874
13,100,-1.0000000000000007,0.0024063389841467143
14,100,-1.0000000000000007,0.002152101853862405
15,100,-1.0000000000000007,0.0020175127405673266
16,100,-1.0000000000000007,0.0017211208562366664
17,86,9.16,0.0018742516431091137
18,100,-1.0000000000000007,0.0015540231415070594
19,71,9.309999999999999,0.04174260176311601
20,100,-1.0000000000000007,0.0018451396445743739
21,100,-1.0000000000000007,0.001856192743871361
22,100,-1.0000000000000007,0.0012025299738161266
23,100,-1.0000000000000007,0.028805194599553944
24,100,-1.0000000000000007,0.054078522603958845
25,100,-1.0000000000000007,0.0011278257728554307
26,67,9.35,0.07754359055143684
27,100,-1.0000000000000007,0.051878753567580135
28,100,-1.0000000000000007,0.0013099797500763088
29,100,-1.0000000000000007,0.0008746436447836459
30,100,-1.0000000000000007,0.05344536342658102
31,100,-1.0000000000000007,0.0017114961543120443
32,100,-1.0000000000000007,0.028938278823625298
33,100,-1.0000000000000007,0.02527013024315238
34,100,-1.0000000000000007,0.0019530892674811185
35,100,-1.0000000000000007,0.0016204548720270395
36,100,-1.0000000000000007,0.001152612817240879
37,100,-1.0000000000000007,0.0011621599621139467
38,100,-1.0000000000000007,0.0008762466453481466
39,100,-1.0000000000000007,0.0009359733446035534
40,100,-1.0000000000000007,0.0008922568004345521
41,100,-1.0000000000000007,0.0008475546044064686
42,96,9.059999999999999,0.0005860657323258541
43,100,-1.0000000000000007,0.0005438575841253624
44,100,-1.0000000000000007,0.02747217355761677
45,100,-1.0000000000000007,0.0007463932840619236
46,100,-1.0000000000000007,0.047386534926481545
47,100,-1.0000000000000007,0.023349764153244905
48,100,-1.0000000000000007,0.0009450628340709954
49,100,-1.0000000000000007,0.0007319250277942047
50,88,9.139999999999999,0.03132030735353262
51,100,-1.0000000000000007,0.05032310148701072
52,100,-1.0000000000000007,0.07347170050721616
53,100,-1.0000000000000007,0.0018110506556695328
54,100,-1.0000000000000007,0.024823393573751674
55,100,-1.0000000000000007,0.047572606432950124
56,91,9.11,0.046814464357589465
57,100,-1.0000000000000007,0.0012553067278349773
58,100,-1.0000000000000007,0.023094189452240243
59,100,-1.0000000000000007,0.039454266289249064
60,100,-1.0000000000000007,0.0035093142138794063
61,100,-1.0000000000000007,0.024545790673000736
62,100,-1.0000000000000007,0.023797446133103223
63,29,9.73,0.07161473448324049
64,100,-1.0000000000000007,0.002908310883212835
65,100,-1.0000000000000007,0.02151867500739172
66,39,9.629999999999999,0.05590282115512169
67,100,-1.0000000000000007,0.05689212445751764
68,100,-1.0000000000000007,0.003754724068567157
69,86,9.16,0.025445982453759845
70,58,9.44,0.06907617387056736
71,100,-1.0000000000000007,0.005752510246820748
72,49,9.53,0.03858430656053278
73,100,-1.0000000000000007,0.04202972876140848
74,100,-1.0000000000000007,0.020667120171710848
75,100,-1.0000000000000007,0.021707454724237324
76,100,-1.0000000000000007,0.003079862559679896
77,43,9.59,0.0014442580313486762
78,100,-1.0000000000000007,0.019844000262673946
79,98,9.04,0.0022209090731885968
80,100,-1.0000000000000007,0.020298390157986432
81,40,9.62,0.0034813109785318376
82,42,9.6,0.04452329468248146
83,67,9.35,0.005227778341496058
84,59,9.43,0.032442099006325636
85,100,-1.0000000000000007,0.004104695632122457
86,40,9.62,0.0021159010648261756
87,44,9.58,0.0404275918527591
88,30,9.72,0.10354840348785123
89,100,-1.0000000000000007,0.019866669017355888
90,47,9.549999999999999,0.0032670199177525145
91,20,9.82,0.0025512798223644496
92,36,9.66,0.005888418604930242
93,38,9.64,0.002972810786511553
94,33,9.69,0.0056368092808759575
95,24,9.78,0.005823641394575437
96,89,9.129999999999999,0.06677563240479552
97,43,9.59,0.03539567204668771
98,100,-1.0000000000000007,0.04678339466452599
99,34,9.68,0.03884209862307591
100,100,-1.0000000000000007,0.08171991091221571
101,35,9.67,0.049750434660485815
102,100,-1.0000000000000007,0.03745809637475759
103,100,-1.0000000000000007,0.05518358810804784
104,100,-1.0000000000000007,0.02058645711746067
105,75,9.27,0.028251059918353954
106,100,-1.0000000000000007,0.06417318487539887
107,100,-1.0000000000000007,0.04001677136868238
108,100,-1.0000000000000007,0.036284222672693434
109,100,-1.0000000000000007,0.033940754188224675
110,85,9.17,0.007135345929247492
111,100,-1.0000000000000007,0.04758139966055751
112,36,9.66,0.023963046467138663
113,71,9.309999999999999,0.013476416967074635
114,100,-1.0000000000000007,0.03902369087561965
115,25,9.77,0.008209573104977608
116,32,9.7,0.02495050459401682
117,100,-1.0000000000000007,0.05581821314059198
118,100,-1.0000000000000007,0.04421977669931948
119,51,9.51,0.011728899717769203
120,69,9.33,0.022430930043692173
121,25,9.77,0.03737739428877831
122,31,9.709999999999999,0.034011884322089535
123,37,9.65,0.006697069249443106
124,100,-1.0000000000000007,0.052522237859666344
125,33,9.69,0.0665489427293792
126,100,-1.0000000000000007,0.05193701021373272
127,100,-1.0000000000000007,0.027004108522087334
128,29,9.73,0.018260511441220498
129,38,9.64,0.0386196995448125
130,53,9.49,0.020677506264720886
131,37,9.65,0.07943437459903795
132,21,9.81,0.052307130148013435
133,39,9.629999999999999,0.05516230047513277
134,28,9.74,0.03449249666716371
135,23,9.79,0.03547975161801214
136,56,9.459999999999999,0.11279541511820364
137,18,9.84,0.05255303904414177
138,17,9.85,0.03486550818471348
139,24,9.78,0.026991703857978184
140,83,9.19,0.040105481643274606
141,71,9.309999999999999,0.0436826498365738
142,25,9.77,0.02435989962890744
143,29,9.73,0.0352379880074797
144,19,9.83,0.010574862753090105
145,21,9.81,0.030305689999035428
146,25,9.77,0.04065895467996597
147,23,9.79,0.008169107948956282
148,17,9.85,0.027282946250017953
149,100,-1.0000000000000007,0.030250385235995055
150,100,-1.0000000000000007,0.05095505120232701
151,37,9.65,0.024579204920981382
152,23,9.79,0.03772787344844445
153,23,9.79,0.0359230010729769
154,35,9.67,0.022470981680921147
155,52,9.5,0.05702034321327049
156,39,9.629999999999999,0.028805842384313926
157,31,9.709999999999999,0.027303423612348495
158,25,9.77,0.014385140240192414
159,70,9.32,0.020611807703971863
160,79,9.23,0.0482452939960021
161,100,-1.0000000000000007,0.025339881852269174
162,43,9.59,0.03387127799350162
163,32,9.7,0.014490690431557596
164,23,9.79,0.009285727677785831
165,23,9.79,0.0963552801505379
166,48,9.54,0.01660554435996649
167,24,9.78,0.005989265084887545
168,22,9.8,0.01509788649326021
169,28,9.74,0.02924055153770106
170,29,9.73,0.022540225551046175
171,31,9.709999999999999,0.019103480563048395
172,29,9.73,0.05844492426720159
173,23,9.79,0.07502603952003561
174,27,9.75,0.029335853402261382
175,62,9.4,0.041006676762575106
176,25,9.77,0.01120138332247734
177,35,9.67,0.01810301441167082
178,32,9.7,0.015701558673754334
179,17,9.85,0.035934692467836774
180,18,9.84,0.04386628253592385
181,26,9.76,0.06878889524019681
182,48,9.54,0.08850976871326566
183,24,9.78,0.0378234904880325
184,19,9.83,0.010935205868200251
185,31,9.709999999999999,0.017884962020381805
186,30,9.72,0.03752819498380025
187,23,9.79,0.01811141391163287
188,17,9.85,0.015464398242971477
189,17,9.85,0.02572938975165872
190,19,9.83,0.03456224873661995
191,28,9.74,0.04647982918790409
192,31,9.709999999999999,0.014343756220994456
193,22,9.8,0.017955700189552525
194,19,9.83,0.039145613285271746
195,19,9.83,0.0962941238754674
196,21,9.81,0.09362536172072093
197,23,9.79,0.06397437531015147
198,17,9.85,0.013420489342773663
199,23,9.79,0.08413089876589568
