episode,steps,rewards
1,100,-0.6000000000000004
2,100,-0.6000000000000004
3,100,-0.6000000000000004
4,100,-0.6000000000000004
5,100,-0.6000000000000004
6,100,0.4059999999999996
7,100,1.4119999999999997
8,100,0.4059999999999996
9,100,-0.6000000000000004
10,100,0.4059999999999996
11,100,0.4059999999999996
12,100,0.4059999999999996
13,100,-0.6000000000000004
14,100,0.4059999999999996
15,100,-0.6000000000000004
16,100,-0.6000000000000004
17,100,-0.6000000000000004
18,100,0.4059999999999996
19,100,-0.6000000000000004
20,100,0.4059999999999995
21,100,0.4059999999999996
22,100,0.4059999999999996
23,100,0.4059999999999996
24,100,0.4059999999999996
25,100,0.4059999999999996
26,100,0.4059999999999996
27,100,0.4059999999999996
28,100,0.4059999999999996
29,100,0.4059999999999996
30,100,0.4059999999999996
31,100,0.4059999999999996
32,100,0.4059999999999996
33,100,0.4059999999999996
34,100,0.4059999999999996
35,100,0.4059999999999996
36,100,0.4059999999999996
37,100,0.4059999999999996
38,100,0.4059999999999996
39,100,0.4059999999999996
40,100,0.4059999999999996
41,100,1.4119999999999997
42,100,1.4119999999999997
43,100,0.4059999999999995
44,100,0.4059999999999996
45,100,1.4119999999999995
46,100,0.4059999999999996
47,100,0.4059999999999996
48,100,0.4059999999999995
49,100,1.4119999999999997
50,100,0.4059999999999995
51,100,1.4119999999999995
52,100,1.4119999999999995
53,100,1.4119999999999995
54,100,0.4059999999999996
55,100,1.4119999999999995
56,100,0.4059999999999996
57,100,1.4119999999999995
58,100,1.4119999999999995
59,100,0.4059999999999996
60,100,1.4119999999999995
61,100,1.4119999999999995
62,100,1.4119999999999995
63,100,1.4119999999999995
64,100,1.4119999999999995
65,100,1.4119999999999995
66,100,1.4119999999999997
67,100,1.4119999999999995
68,100,1.4119999999999995
69,100,1.4119999999999995
70,100,1.4119999999999995
71,100,1.4119999999999995
72,100,1.4119999999999995
73,100,1.4119999999999995
74,100,1.4119999999999995
75,100,1.4119999999999995
76,100,1.4119999999999995
77,100,1.4119999999999995
78,100,1.4119999999999995
79,100,1.4119999999999995
80,100,1.4119999999999995
81,100,1.4119999999999995
82,100,1.4119999999999995
83,100,1.4119999999999995
84,100,1.4119999999999995
85,100,1.4119999999999995
86,100,1.4119999999999995
87,100,1.4119999999999995
88,100,1.4119999999999995
89,100,1.4119999999999995
90,100,1.4119999999999995
91,100,1.4119999999999997
92,100,1.4119999999999995
93,100,1.4119999999999997
94,100,1.4119999999999995
95,100,1.4119999999999995
96,100,1.4119999999999995
97,100,1.4119999999999995
98,100,1.4119999999999995
99,100,1.4119999999999995
100,100,1.4119999999999995
101,100,1.4119999999999995
102,100,1.4119999999999995
103,100,1.4119999999999995
104,100,1.4119999999999995
105,100,1.4119999999999995
106,100,1.4119999999999995
107,100,1.4119999999999995
108,99,11.424
109,100,1.4119999999999995
110,100,1.4119999999999995
